Model,MAE,MASE
autoarima czech,30.311640033752933,5.010188435331064
autoarima estonia,4.296445081011242,2.095826868785972
autoarima france,121.46820343164069,10.122350285970057
autoarima malaysia,14.62779407516344,2.566279662309375
autoarima belgium,58.5725300141545,22.313344767296954
autoarima chile,38.03812997508052,4.528348806557205
autoarima Ireland,15.306658656928725,3.309547817714319
autoarima Israel,7.631258916143572,2.461696424562443
autoarima italy,189.61580642948184,5.516096187039472
autoarima US,810.8555508727637,5.061520292589037
