,date,new_deaths
76776,2020-03-01,
76783,2020-03-08,0.0
76790,2020-03-15,0.0
76797,2020-03-22,0.0
76804,2020-03-29,73.0
76811,2020-04-05,-57.0
76818,2020-04-12,-7.0
76825,2020-04-19,5.0
76832,2020-04-26,-5.0
76839,2020-05-03,-5.0
76846,2020-05-10,0.0
76853,2020-05-17,-2.0
76860,2020-05-24,-1.0
76867,2020-05-31,2.0
76874,2020-06-07,-2.0
76881,2020-06-14,0.0
76888,2020-06-21,-1.0
76895,2020-06-28,0.0
76902,2020-07-05,0.0
76909,2020-07-12,0.0
76916,2020-07-19,0.0
76923,2020-07-26,0.0
76930,2020-08-02,0.0
76937,2020-08-09,0.0
76944,2020-08-16,0.0
76951,2020-08-23,1.0
76958,2020-08-30,-1.0
76965,2020-09-06,0.0
76972,2020-09-13,0.0
76979,2020-09-20,0.0
76986,2020-09-27,0.0
76993,2020-10-04,3.0
77000,2020-10-11,-2.0
77007,2020-10-18,-1.0
77014,2020-10-25,5.0
77021,2020-11-01,-5.0
77028,2020-11-08,3.0
77035,2020-11-15,2.0
77042,2020-11-22,5.0
77049,2020-11-29,14.0
77056,2020-12-06,-8.0
77063,2020-12-13,3.0
77070,2020-12-20,9.0
77077,2020-12-27,4.0
77084,2021-01-03,7.0
77091,2021-01-10,-5.0
77098,2021-01-17,14.0
77105,2021-01-24,-1.0
77112,2021-01-31,-5.0
77119,2021-02-07,0.0
77126,2021-02-14,-6.0
77133,2021-02-21,2.0
77140,2021-02-28,19.0
77147,2021-03-07,9.0
77154,2021-03-14,-7.0
77161,2021-03-21,10.0
77168,2021-03-28,13.0
77175,2021-04-04,-79.0
77182,2021-04-11,83.0
77189,2021-04-18,-26.0
77196,2021-04-25,-11.0
77203,2021-05-02,-23.0
77210,2021-05-09,5.0
77217,2021-05-16,-10.0
77224,2021-05-23,-7.0
77231,2021-05-30,-1.0
77238,2021-06-06,-2.0
77245,2021-06-13,-9.0
77252,2021-06-20,0.0
77259,2021-06-27,-1.0
77266,2021-07-04,0.0
77273,2021-07-11,-1.0
77280,2021-07-18,1.0
77287,2021-07-25,-1.0
77294,2021-08-01,1.0
77301,2021-08-08,3.0
77308,2021-08-15,-2.0
77315,2021-08-22,3.0
77322,2021-08-29,2.0
77329,2021-09-05,4.0
77336,2021-09-12,0.0
77343,2021-09-19,3.0
77350,2021-09-26,8.0
77357,2021-10-03,1.0
77364,2021-10-10,4.0
77371,2021-10-17,4.0
77378,2021-10-24,6.0
77385,2021-10-31,35.0
77392,2021-11-07,-72.0
77399,2021-11-14,72.0
77406,2021-11-21,-19.0
77413,2021-11-28,2.0
77420,2021-12-05,-28.0
77427,2021-12-12,11.0
77434,2021-12-19,-15.0
77441,2021-12-26,6.0
77448,2022-01-02,-6.0
77455,2022-01-09,-7.0
77462,2022-01-16,12.0
77469,2022-01-23,-4.0
77476,2022-01-30,1.0
77483,2022-02-06,7.0
77490,2022-02-13,13.0
77497,2022-02-20,9.0
77504,2022-02-27,10.0
77511,2022-03-06,-5.0
77518,2022-03-13,-1.0
77525,2022-03-20,-25.0
77532,2022-03-27,7.0
77539,2022-04-03,-18.0
77546,2022-04-10,7.0
77553,2022-04-17,-7.0
77560,2022-04-24,-9.0
77567,2022-05-01,-4.0
77574,2022-05-08,-1.0
77581,2022-05-15,-5.0
77588,2022-05-22,2.0
77595,2022-05-29,3.0
77602,2022-06-05,2.0
77609,2022-06-12,-8.0
77616,2022-06-19,0.0
77623,2022-06-26,1.0
77630,2022-07-03,5.0
77637,2022-07-10,0.0
77644,2022-07-17,-4.0
77651,2022-07-24,4.0
77658,2022-07-31,0.0
77665,2022-08-07,-2.0
77672,2022-08-14,2.0
77679,2022-08-21,-3.0
77686,2022-08-28,-1.0
77693,2022-09-04,2.0
77700,2022-09-11,-2.0
77707,2022-09-18,2.0
77714,2022-09-25,8.0
77721,2022-10-02,-3.0
77728,2022-10-09,10.0
77735,2022-10-16,-5.0
77742,2022-10-23,-6.0
77749,2022-10-30,-1.0
77756,2022-11-06,0.0
