,date,new_deaths
86312,2020-03-01,
86319,2020-03-08,0.0
86326,2020-03-15,43.0
86333,2020-03-22,627.0
86340,2020-03-29,1329.0
86347,2020-04-05,1277.0
86354,2020-04-12,68.0
86361,2020-04-19,-614.0
86368,2020-04-26,-634.0
86375,2020-05-03,-690.0
86382,2020-05-10,-350.0
86389,2020-05-17,-246.0
86396,2020-05-24,-248.0
86403,2020-05-31,-91.0
86410,2020-06-07,-140.0
86417,2020-06-14,-73.0
86424,2020-06-21,-99.0
86431,2020-06-28,-48.0
86438,2020-07-05,-11.0
86445,2020-07-12,20.0
86452,2020-07-19,-26.0
86459,2020-07-26,4.0
86466,2020-08-02,-21.0
86473,2020-08-09,-8.0
86480,2020-08-16,23.0
86487,2020-08-23,26.0
86494,2020-08-30,-7.0
86501,2020-09-06,15.0
86508,2020-09-13,132.0
86515,2020-09-20,171.0
86522,2020-09-27,130.0
86529,2020-10-04,2.0
86536,2020-10-11,129.0
86543,2020-10-18,273.0
86550,2020-10-25,811.0
86557,2020-11-01,1380.0
86564,2020-11-08,1640.0
86571,2020-11-15,693.0
86578,2020-11-22,115.0
86585,2020-11-29,-923.0
86592,2020-12-06,-716.0
86599,2020-12-13,-171.0
86606,2020-12-20,-409.0
86613,2020-12-27,-264.0
86620,2021-01-03,-204.0
86627,2021-01-10,514.0
86634,2021-01-17,25.0
86641,2021-01-24,-40.0
86648,2021-01-31,-255.0
86655,2021-02-07,-90.0
86662,2021-02-14,-177.0
86669,2021-02-21,-376.0
86676,2021-02-28,-365.0
86683,2021-03-07,-118.0
86690,2021-03-14,-161.0
86697,2021-03-21,-73.0
86704,2021-03-28,35.0
86711,2021-04-04,125.0
86718,2021-04-11,161.0
86725,2021-04-18,-153.0
86732,2021-04-25,95.0
86739,2021-05-02,-108.0
86746,2021-05-09,-421.0
86753,2021-05-16,-344.0
86760,2021-05-23,-249.0
86767,2021-05-30,-168.0
86774,2021-06-06,-207.0
86781,2021-06-13,-210.0
86788,2021-06-20,-46.0
86795,2021-06-27,-75.0
86802,2021-07-04,-63.0
86809,2021-07-11,-29.0
86816,2021-07-18,-46.0
86823,2021-07-25,23.0
86830,2021-08-01,121.0
86837,2021-08-08,42.0
86844,2021-08-15,71.0
86851,2021-08-22,346.0
86858,2021-08-29,-235.0
86865,2021-09-05,25.0
86872,2021-09-12,-52.0
86879,2021-09-19,-51.0
86886,2021-09-26,-55.0
86893,2021-10-03,-55.0
86900,2021-10-10,-85.0
86907,2021-10-17,-16.0
86914,2021-10-24,4.0
86921,2021-10-31,-2.0
86928,2021-11-07,35.0
86935,2021-11-14,21.0
86942,2021-11-21,84.0
86949,2021-11-28,137.0
86956,2021-12-05,165.0
86963,2021-12-12,284.0
86970,2021-12-19,130.0
86977,2021-12-26,124.0
86984,2022-01-02,158.0
86991,2022-01-09,169.0
86998,2022-01-16,15.0
87005,2022-01-23,159.0
87012,2022-01-30,275.0
87019,2022-02-06,63.0
87026,2022-02-13,-8.0
87033,2022-02-20,-243.0
87040,2022-02-27,-414.0
87047,2022-03-06,-237.0
87054,2022-03-13,-274.0
87061,2022-03-20,-28.0
87068,2022-03-27,-65.0
87075,2022-04-03,74.0
87082,2022-04-10,-13.0
87089,2022-04-17,64.0
87096,2022-04-24,37.0
87103,2022-05-01,-22.0
87110,2022-05-08,-118.0
87117,2022-05-15,-135.0
87124,2022-05-22,-148.0
87131,2022-05-29,-166.0
87138,2022-06-05,29.0
87145,2022-06-12,-92.0
87152,2022-06-19,28.0
87159,2022-06-26,26.0
87166,2022-07-03,-27.0
87173,2022-07-10,160.0
87180,2022-07-17,161.0
87187,2022-07-24,146.0
87194,2022-07-31,-134.0
87201,2022-08-07,-68.0
87208,2022-08-14,-11.0
87215,2022-08-21,-105.0
87222,2022-08-28,-96.0
87229,2022-09-04,-15.0
87236,2022-09-11,-39.0
87243,2022-09-18,-61.0
87250,2022-09-25,15.0
87257,2022-10-02,0.0
87264,2022-10-09,97.0
87271,2022-10-16,100.0
87278,2022-10-23,108.0
87285,2022-10-30,-27.0
87292,2022-11-06,-50.0
87299,2022-11-13,-48.0
87306,2022-11-20,72.0
87313,2022-11-27,-14.0
87320,2022-12-04,30.0
87327,2022-12-11,84.0
87334,2022-12-18,152.0
87341,2022-12-25,86.0
87348,2023-01-01,1.0
87355,2023-01-08,-33.0
87362,2023-01-15,-269.0
87369,2023-01-22,-108.0
87376,2023-01-29,-72.0
87383,2023-02-05,-66.0
87390,2023-02-12,-89.0
87397,2023-02-19,9.0
87404,2023-02-26,-10.0
87411,2023-03-05,-18.0
87418,2023-03-12,-27.0
87425,2023-03-19,38.0
87432,2023-03-26,5.0
87439,2023-04-02,42.0
87446,2023-04-09,-22.0
87453,2023-04-16,-26.0
87460,2023-04-23,118.0
87467,2023-04-30,-31.0
87474,2023-05-07,-10.0
87481,2023-05-14,-79.0
87488,2023-05-21,-28.0
87495,2023-05-28,17.0
87502,2023-06-04,-37.0
87509,2023-06-11,-6.0
87516,2023-06-18,-39.0
87523,2023-06-25,-5.0
87530,2023-07-02,-62.0
87537,2023-07-09,0.0
87539,2023-07-16,0.0
87540,2023-07-23,0.0
87541,2023-07-30,0.0
87542,2023-08-06,0.0
87543,2023-08-13,0.0
87544,2023-08-20,0.0
87545,2023-08-27,0.0
87546,2023-09-03,0.0
87547,2023-09-10,0.0
87548,2023-09-17,0.0
87549,2023-09-24,0.0
87550,2023-10-01,0.0
87551,2023-10-08,0.0
87552,2023-10-15,0.0
87553,2023-10-22,0.0
87554,2023-10-29,0.0
87555,2023-11-05,0.0
87556,2023-11-12,0.0
87557,2023-11-19,0.0
87558,2023-11-26,0.0
87559,2023-12-03,0.0
87560,2023-12-10,0.0
87561,2023-12-17,0.0
87562,2023-12-24,0.0
87563,2023-12-31,0.0
87564,2024-01-07,0.0
