,date,new_deaths
148644,,
148651,7 days,0.0
148658,7 days,0.0
148665,7 days,10.0
148672,7 days,7.0
148679,7 days,13.0
148686,7 days,-14.0
148693,7 days,-1.0
148700,7 days,-5.0
148707,7 days,-5.0
148714,7 days,0.0
148721,7 days,0.0
148728,7 days,-3.0
148735,7 days,-2.0
148742,7 days,2.0
148749,7 days,1.0
148756,7 days,-2.0
148763,7 days,-1.0
148770,7 days,0.0
148777,7 days,1.0
148784,7 days,-1.0
148791,7 days,1.0
148798,7 days,1.0
148805,7 days,-2.0
148812,7 days,0.0
148819,7 days,0.0
148826,7 days,0.0
148833,7 days,3.0
148840,7 days,-3.0
148847,7 days,2.0
148854,7 days,1.0
148861,7 days,1.0
148868,7 days,14.0
148875,7 days,7.0
148882,7 days,16.0
148889,7 days,-13.0
148896,7 days,5.0
148903,7 days,-9.0
148910,7 days,2.0
148917,7 days,-4.0
148924,7 days,4.0
148931,7 days,5.0
148938,7 days,-9.0
148945,7 days,-4.0
148952,7 days,14.0
148959,7 days,27.0
148966,7 days,-7.0
148973,7 days,21.0
148980,7 days,6.0
148987,7 days,32.0
148994,7 days,-10.0
149001,7 days,-8.0
149008,7 days,-23.0
149015,7 days,-25.0
149022,7 days,-5.0
149029,7 days,-17.0
149036,7 days,-1.0
149043,7 days,13.0
149050,7 days,0.0
149057,7 days,14.0
149064,7 days,7.0
149071,7 days,51.0
149078,7 days,43.0
149085,7 days,69.0
149092,7 days,127.0
149099,7 days,135.0
149106,7 days,168.0
149113,7 days,-119.0
149120,7 days,-30.0
149127,7 days,36.0
149134,7 days,17.0
149141,7 days,108.0
149148,7 days,200.0
149155,7 days,114.0
149162,7 days,215.0
149169,7 days,375.0
149176,7 days,196.0
149183,7 days,-103.0
149190,7 days,261.0
149197,7 days,213.0
149204,7 days,360.0
149211,7 days,240.0
149218,7 days,-738.0
149225,7 days,-748.0
149232,7 days,-600.0
149239,7 days,-54.0
149246,7 days,-113.0
149253,7 days,33.0
149260,7 days,-133.0
149267,7 days,6.0
149274,7 days,-59.0
149281,7 days,-19.0
149288,7 days,-2.0
149295,7 days,-40.0
149302,7 days,-52.0
149309,7 days,29.0
149316,7 days,-44.0
149323,7 days,-52.0
149330,7 days,-31.0
149337,7 days,-16.0
149344,7 days,-26.0
149351,7 days,-4.0
149358,7 days,22.0
149365,7 days,131.0
149372,7 days,105.0
149379,7 days,227.0
149386,7 days,25.0
149393,7 days,14.0
149400,7 days,-205.0
149407,7 days,-77.0
149414,7 days,-118.0
149421,7 days,-64.0
149428,7 days,-51.0
149435,7 days,-27.0
149442,7 days,-18.0
149449,7 days,-1.0
149456,7 days,-4.0
149463,7 days,-6.0
149470,7 days,3.0
149477,7 days,1.0
149484,7 days,-7.0
149491,7 days,0.0
149498,7 days,11.0
149505,7 days,2.0
149512,7 days,14.0
149519,7 days,15.0
149526,7 days,-7.0
149533,7 days,1.0
149540,7 days,6.0
149547,7 days,1.0
149554,7 days,-11.0
149561,7 days,-8.0
149568,7 days,-7.0
149575,7 days,-4.0
149582,7 days,8.0
149589,7 days,-17.0
149596,7 days,0.0
149603,7 days,-3.0
149610,7 days,4.0
149617,7 days,4.0
149624,7 days,-8.0
149631,7 days,39.0
149638,7 days,-4.0
149645,7 days,-7.0
149652,7 days,11.0
149659,7 days,-6.0
149666,7 days,-14.0
149673,7 days,-12.0
149680,7 days,-4.0
149687,7 days,-15.0
149694,7 days,-8.0
149701,7 days,0.0
149708,7 days,0.0
149715,7 days,77.0
149722,7 days,-69.0
149729,7 days,-3.0
149736,7 days,-4.0
149743,7 days,8.0
149750,7 days,-8.0
149757,7 days,-1.0
149764,7 days,12.0
149771,7 days,-12.0
149778,7 days,3.0
149785,7 days,9.0
149792,7 days,5.0
149799,7 days,-8.0
149806,7 days,-1.0
149813,7 days,-8.0
149820,7 days,42.0
149827,7 days,-11.0
149834,7 days,-16.0
149841,7 days,-5.0
149848,7 days,0.0
149855,7 days,1.0
149862,7 days,-9.0
149869,7 days,5.0
149876,7 days,-5.0
149883,7 days,1.0
149890,7 days,-2.0
149897,7 days,1.0
149904,7 days,-2.0
149911,7 days,0.0
149918,7 days,0.0
149925,7 days,3.0
149932,7 days,1.0
149939,7 days,-3.0
149946,7 days,-1.0
149953,7 days,2.0
149960,7 days,3.0
149967,7 days,-3.0
149974,7 days,1.0
149981,7 days,-3.0
149988,7 days,6.0
149995,7 days,-5.0
150002,7 days,2.0
150009,7 days,4.0
150016,7 days,-1.0
150023,7 days,5.0
150030,7 days,17.0
150037,7 days,-6.0
150044,7 days,3.0
150051,7 days,-25.0
