iso_code,continent,location,date,total_cases,new_cases,new_deaths,total_cases_per_million,new_cases_per_million,icu_patients_per_million,hosp_patients_per_million,weekly_icu_admissions_per_million,weekly_hosp_admissions_per_million,tests_units,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,population,excess_mortality,Cluster,new_deaths_1_week_lag,new_deaths_2_week_lag,new_deaths_4_week_lag,new_deaths_2_week_mean,new_deaths_4_week_mean,new_deaths_2_week_std,new_deaths_4_week_std,new_deaths_2_week_max,new_deaths_4_week_max,new_deaths_2_week_min,new_deaths_4_week_min,year,season,comparison_with_previous,icu_utilization_ratio,healthcare_strain_index,cumulative_cases_threshold,gdp_stringency_interaction,Holiday,Normal day
BEL,Europe,Belgium,2020-03-01,1.0,0.0,0.0,0.086,0.0,,,,,tests performed,,,,,11.11,375.564,41.8,18.571,12.849,42658.576,114.898,4.29,25.1,31.4,5.64,81.63,11655923.0,-11.45,0,,,,,,,,,,,,2020,Spring,,,,0,473936.77936,0,1
BEL,Europe,Belgium,2020-03-08,316.0,315.0,0.0,27.111,27.025,0.0,0.0,,,tests performed,,,,,13.89,375.564,41.8,18.571,12.849,42658.576,114.898,4.29,25.1,31.4,5.64,81.63,11655923.0,-9.63,0,0.0,,,0.0,,0.0,,0.0,,0.0,,2020,Spring,0.0,0.0,0.0,1,592527.62064,0,1
BEL,Europe,Belgium,2020-03-15,1362.0,1046.0,9.0,116.85,89.74,4.547,22.564,,18.96,tests performed,,,,,50.93,375.564,41.8,18.571,12.849,42658.576,114.898,4.29,25.1,31.4,5.64,81.63,11655923.0,-4.51,0,0.0,0.0,,4.5,,6.363961030678928,,9.0,,0.0,,2020,Spring,9.0,0.08062056737588652,4.806914893617022,2,2172601.27568,0,1
BEL,Europe,Belgium,2020-03-22,4473.0,3111.0,140.0,383.753,266.903,27.969,142.503,,128.604,tests performed,,,,,81.48,375.564,41.8,18.571,12.849,42658.576,114.898,4.29,25.1,31.4,5.64,81.63,11655923.0,10.22,0,9.0,0.0,,74.5,37.25,92.63098833543772,68.63126109871507,140.0,140.0,9.0,0.0,2020,Spring,131.0,0.49590425531914895,30.225531914893615,3,3475820.7724800003,0,1
BEL,Europe,Belgium,2020-03-29,12031.0,7558.0,602.0,1032.179,648.426,82.447,389.158,,300.191,tests performed,,,,,81.48,375.564,41.8,18.571,12.849,42658.576,114.898,4.29,25.1,31.4,5.64,81.63,11655923.0,43.94,2,140.0,9.0,0.0,371.0,187.75,326.683332908185,283.4811869125239,602.0,602.0,140.0,0.0,2020,Spring,462.0,1.4618262411347518,83.61790780141845,4,3475820.7724800003,0,1
BEL,Europe,Belgium,2020-04-05,21665.0,9634.0,1357.0,1858.712,826.533,108.7,482.158,,306.368,tests performed,,,,,81.48,375.564,41.8,18.571,12.849,42658.576,114.898,4.29,25.1,31.4,5.64,81.63,11655923.0,90.16,2,602.0,140.0,0.0,979.5,527.0,533.8656197958434,608.9931581443807,1357.0,1357.0,602.0,9.0,2020,Spring,755.0,1.9273049645390072,104.76205673758867,5,3475820.7724800003,0,1
BEL,Europe,Belgium,2020-04-12,32874.0,11209.0,1938.0,2820.369,961.657,107.499,475.466,,242.795,tests performed,,,,,81.48,375.564,41.8,18.571,12.849,42658.576,114.898,4.29,25.1,31.4,5.64,81.63,11655923.0,105.35,2,1357.0,602.0,9.0,1647.5,1009.25,410.82903986938413,796.8594083441989,1938.0,1938.0,1357.0,140.0,2020,Spring,581.0,1.9060106382978723,103.36258865248229,6,3475820.7724800003,0,1
BEL,Europe,Belgium,2020-04-19,41225.0,8351.0,1820.0,3536.828,716.46,91.885,423.819,,165.152,tests performed,,,,,81.48,375.564,41.8,18.571,12.849,42658.576,114.898,4.29,25.1,31.4,5.64,81.63,11655923.0,80.96,2,1938.0,1357.0,140.0,1879.0,1429.25,83.43860018001261,605.8258138001935,1938.0,1938.0,1820.0,602.0,2020,Spring,-118.0,1.6291666666666669,91.43687943262412,7,3475820.7724800003,0,1
BEL,Europe,Belgium,2020-04-26,47500.0,6275.0,1285.0,4075.181,538.353,77.471,340.428,,121.826,tests performed,,,,,81.48,375.564,41.8,18.571,12.849,42658.576,114.898,4.29,25.1,31.4,5.64,81.63,11655923.0,49.92,2,1820.0,1938.0,602.0,1552.5,1600.0,378.3021279348029,327.06676178827274,1820.0,1938.0,1285.0,1285.0,2020,Spring,-535.0,1.373599290780142,74.09556737588653,8,3475820.7724800003,0,1
BEL,Europe,Belgium,2020-05-03,50762.0,3262.0,830.0,4355.039,279.858,56.195,261.155,,78.072,tests performed,,,,,81.48,375.564,41.8,18.571,12.849,42658.576,114.898,4.29,25.1,31.4,5.64,81.63,11655923.0,21.02,0,1285.0,1820.0,1357.0,1057.5,1468.25,321.7335854398791,511.6433490886662,1285.0,1938.0,830.0,830.0,2020,Spring,-455.0,0.9963652482269504,56.2677304964539,9,3475820.7724800003,0,1
BEL,Europe,Belgium,2020-05-10,53881.0,3119.0,571.0,4622.628,267.589,40.923,190.633,,56.967,tests performed,,,,,78.7,375.564,41.8,18.571,12.849,42658.576,114.898,4.29,25.1,31.4,5.64,81.63,11655923.0,18.02,0,830.0,1285.0,1938.0,700.5,1126.5,183.1406563273158,548.5000759647472,830.0,1820.0,571.0,571.0,2020,Spring,-259.0,0.7255851063829788,41.05602836879433,10,3357229.9312,0,1
