Model,MAE,MASE
base prophet czech,358.71731753111106,59.29211860018365
base prophet estonia,11.18214162083408,5.454703229675162
base prophet france,726.0079080388598,60.50065900323832
base prophet malaysia,309.7156720968204,54.33608282400358
base prophet malaysia,309.7156720968204,54.33608282400358
base prophet belgium,201.91967548741502,76.92178113806287
base prophet chile,218.1405087918809,25.96910818950963
base prophet ireland,28.69902166977784,6.20519387454656
base prophet israel,47.41608413656897,15.29551101179644
base prophet italy,774.8279785104635,22.540450283940757
base prophet us,3864.7797442996257,24.124717504991423
