,date,new_deaths
24348,2020-03-01,0.0
24355,2020-03-08,0.0
24362,2020-03-15,9.0
24369,2020-03-22,140.0
24376,2020-03-29,602.0
24383,2020-04-05,1357.0
24390,2020-04-12,1938.0
24397,2020-04-19,1820.0
24404,2020-04-26,1285.0
24411,2020-05-03,830.0
24418,2020-05-10,571.0
24425,2020-05-17,414.0
24432,2020-05-24,246.0
24439,2020-05-31,181.0
24446,2020-06-07,141.0
24453,2020-06-14,79.0
24460,2020-06-21,44.0
24467,2020-06-28,40.0
24474,2020-07-05,33.0
24481,2020-07-12,13.0
24488,2020-07-19,22.0
24495,2020-07-26,17.0
24502,2020-08-02,20.0
24509,2020-08-09,34.0
24516,2020-08-16,67.0
24523,2020-08-23,53.0
24530,2020-08-30,31.0
24537,2020-09-06,22.0
24544,2020-09-13,21.0
24551,2020-09-20,20.0
24558,2020-09-27,33.0
24565,2020-10-04,76.0
24572,2020-10-11,125.0
24579,2020-10-18,237.0
24586,2020-10-25,366.0
24593,2020-11-01,915.0
24600,2020-11-08,1354.0
24607,2020-11-15,1381.0
24614,2020-11-22,1224.0
24621,2020-11-29,924.0
24628,2020-12-06,773.0
24635,2020-12-13,663.0
24642,2020-12-20,655.0
24649,2020-12-27,598.0
24656,2021-01-03,478.0
24663,2021-01-10,387.0
24670,2021-01-17,364.0
24677,2021-01-24,360.0
24684,2021-01-31,345.0
24691,2021-02-07,287.0
24698,2021-02-14,279.0
24705,2021-02-21,252.0
24712,2021-02-28,165.0
24719,2021-03-07,192.0
24726,2021-03-14,174.0
24733,2021-03-21,180.0
24740,2021-03-28,187.0
24747,2021-04-04,232.0
24754,2021-04-11,301.0
24761,2021-04-18,275.0
24768,2021-04-25,272.0
24775,2021-05-02,273.0
24782,2021-05-09,247.0
24789,2021-05-16,179.0
24796,2021-05-23,140.0
24803,2021-05-30,95.0
24810,2021-06-06,99.0
24817,2021-06-13,60.0
24824,2021-06-20,44.0
24831,2021-06-27,32.0
24838,2021-07-04,22.0
24845,2021-07-11,13.0
24852,2021-07-18,12.0
24859,2021-07-25,11.0
24866,2021-08-01,24.0
24873,2021-08-08,24.0
24880,2021-08-15,23.0
24887,2021-08-22,36.0
24894,2021-08-29,40.0
24901,2021-09-05,37.0
24908,2021-09-12,56.0
24915,2021-09-19,42.0
24922,2021-09-26,56.0
24929,2021-10-03,58.0
24936,2021-10-10,66.0
24943,2021-10-17,82.0
24950,2021-10-24,98.0
24957,2021-10-31,154.0
24964,2021-11-07,146.0
24971,2021-11-14,197.0
24978,2021-11-21,240.0
24985,2021-11-28,281.0
24992,2021-12-05,346.0
24999,2021-12-12,328.0
25006,2021-12-19,273.0
25013,2021-12-26,254.0
25020,2022-01-02,170.0
25027,2022-01-09,131.0
25034,2022-01-16,150.0
25041,2022-01-23,171.0
25048,2022-01-30,210.0
25055,2022-02-06,287.0
25062,2022-02-13,325.0
25069,2022-02-20,292.0
25076,2022-02-27,174.0
25083,2022-03-06,139.0
25090,2022-03-13,142.0
25097,2022-03-20,130.0
25104,2022-03-27,152.0
25111,2022-04-03,169.0
25118,2022-04-10,176.0
25125,2022-04-17,164.0
25132,2022-04-24,138.0
25139,2022-05-01,111.0
25146,2022-05-08,107.0
25153,2022-05-15,64.0
25160,2022-05-22,58.0
25167,2022-05-29,48.0
25174,2022-06-05,43.0
25181,2022-06-12,44.0
25188,2022-06-19,38.0
25195,2022-06-26,33.0
25202,2022-07-03,57.0
25209,2022-07-10,54.0
25216,2022-07-17,79.0
25223,2022-07-24,77.0
25230,2022-07-31,99.0
25237,2022-08-07,71.0
25244,2022-08-14,69.0
25251,2022-08-21,65.0
25258,2022-08-28,50.0
25265,2022-09-04,40.0
25272,2022-09-11,35.0
25279,2022-09-18,46.0
25286,2022-09-25,20.0
25293,2022-10-02,27.0
25300,2022-10-09,50.0
25307,2022-10-16,69.0
25314,2022-10-23,65.0
25321,2022-10-30,50.0
25328,2022-11-06,40.0
25335,2022-11-13,33.0
25342,2022-11-20,38.0
25349,2022-11-27,27.0
25356,2022-12-04,21.0
25363,2022-12-11,45.0
25370,2022-12-18,70.0
25377,2022-12-25,85.0
25384,2023-01-01,96.0
25391,2023-01-08,72.0
25398,2023-01-15,62.0
25405,2023-01-22,36.0
25412,2023-01-29,31.0
25419,2023-02-05,21.0
25426,2023-02-12,48.0
25433,2023-02-19,48.0
25440,2023-02-26,59.0
25447,2023-03-05,57.0
25454,2023-03-12,57.0
25461,2023-03-19,77.0
25468,2023-03-26,84.0
25475,2023-04-02,69.0
25482,2023-04-09,52.0
25489,2023-04-16,35.0
25496,2023-04-23,30.0
25503,2023-04-30,43.0
25510,2023-05-07,31.0
25517,2023-05-14,19.0
25524,2023-05-21,23.0
25531,2023-05-28,17.0
25538,2023-06-04,10.0
25545,2023-06-11,7.0
25552,2023-06-18,8.0
25559,2023-06-25,6.0
25566,2023-07-02,1.0
25573,2023-07-09,0.0
25580,2023-07-16,0.0
25587,2023-07-23,0.0
25594,2023-07-30,0.0
25601,2023-08-06,0.0
25608,2023-08-13,0.0
25615,2023-08-20,0.0
25622,2023-08-27,0.0
25629,2023-09-03,0.0
25636,2023-09-10,0.0
25643,2023-09-17,0.0
25650,2023-09-24,0.0
25651,2023-10-01,0.0
25652,2023-10-08,0.0
25653,2023-10-15,0.0
