,date,new_deaths
48801,2020-03-01,0.0
48802,2020-03-08,0.0
48803,2020-03-15,0.0
48810,2020-03-22,0.0
48817,2020-03-29,6.0
48824,2020-04-05,21.0
48831,2020-04-12,46.0
48838,2020-04-19,53.0
48845,2020-04-26,55.0
48852,2020-05-03,66.0
48859,2020-05-10,57.0
48866,2020-05-17,117.0
48873,2020-05-24,252.0
48880,2020-05-31,324.0
48887,2020-06-07,544.0
48894,2020-06-14,1560.0
48901,2020-06-21,1194.0
48908,2020-06-28,1052.0
48915,2020-07-05,845.0
48922,2020-07-12,689.0
48929,2020-07-19,1564.0
48936,2020-07-26,575.0
48943,2020-08-02,513.0
48950,2020-08-09,478.0
48957,2020-08-16,384.0
48964,2020-08-23,397.0
48971,2020-08-30,389.0
48978,2020-09-06,370.0
48985,2020-09-13,344.0
48992,2020-09-20,359.0
48999,2020-09-27,337.0
49006,2020-10-04,328.0
49013,2020-10-11,353.0
49020,2020-10-18,316.0
49027,2020-10-25,304.0
49034,2020-11-01,315.0
49041,2020-11-08,292.0
49048,2020-11-15,278.0
49055,2020-11-22,253.0
49062,2020-11-29,292.0
49069,2020-12-06,270.0
49076,2020-12-13,254.0
49083,2020-12-20,255.0
49090,2020-12-27,303.0
49097,2021-01-03,320.0
49104,2021-01-10,313.0
49111,2021-01-17,398.0
49118,2021-01-24,419.0
49125,2021-01-31,485.0
49132,2021-02-07,556.0
49139,2021-02-14,548.0
49146,2021-02-21,531.0
49153,2021-02-28,502.0
49160,2021-03-07,532.0
49167,2021-03-14,566.0
49174,2021-03-21,606.0
49181,2021-03-28,473.0
49188,2021-04-04,871.0
49195,2021-04-11,689.0
49202,2021-04-18,842.0
49209,2021-04-25,687.0
49216,2021-05-02,715.0
49223,2021-05-09,644.0
49230,2021-05-16,633.0
49237,2021-05-23,652.0
49244,2021-05-30,661.0
49251,2021-06-06,769.0
49258,2021-06-13,763.0
49265,2021-06-20,813.0
49272,2021-06-27,771.0
49279,2021-07-04,810.0
49286,2021-07-11,794.0
49293,2021-07-18,636.0
49300,2021-07-25,555.0
49307,2021-08-01,490.0
49314,2021-08-08,503.0
49321,2021-08-15,380.0
49328,2021-08-22,274.0
49335,2021-08-29,236.0
49342,2021-09-05,226.0
49349,2021-09-12,134.0
49356,2021-09-19,138.0
49363,2021-09-26,93.0
49370,2021-10-03,52.0
49377,2021-10-10,70.0
49384,2021-10-17,43.0
49391,2021-10-24,65.0
49398,2021-10-31,81.0
49405,2021-11-07,98.0
49412,2021-11-14,110.0
49419,2021-11-21,143.0
49426,2021-11-28,188.0
49433,2021-12-05,183.0
49440,2021-12-12,181.0
49447,2021-12-19,194.0
49454,2021-12-26,173.0
49461,2022-01-02,127.0
49468,2022-01-09,111.0
49475,2022-01-16,125.0
49482,2022-01-23,121.0
49489,2022-01-30,156.0
49496,2022-02-06,277.0
49503,2022-02-13,534.0
49510,2022-02-20,732.0
49517,2022-02-27,874.0
49524,2022-03-06,885.0
49531,2022-03-13,830.0
49538,2022-03-20,655.0
49545,2022-03-27,11858.0
49552,2022-04-03,391.0
49559,2022-04-10,308.0
49566,2022-04-17,234.0
49573,2022-04-24,144.0
49580,2022-05-01,152.0
49587,2022-05-08,102.0
49594,2022-05-15,85.0
49601,2022-05-22,80.0
49608,2022-05-29,83.0
49615,2022-06-05,78.0
49622,2022-06-12,121.0
49629,2022-06-19,150.0
49636,2022-06-26,159.0
49643,2022-07-03,178.0
49650,2022-07-10,224.0
49657,2022-07-17,252.0
49664,2022-07-24,264.0
49671,2022-07-31,249.0
49678,2022-08-07,221.0
49685,2022-08-14,188.0
49692,2022-08-21,213.0
49699,2022-08-28,208.0
49706,2022-09-04,189.0
49713,2022-09-11,178.0
49720,2022-09-18,174.0
49727,2022-09-25,123.0
49734,2022-10-02,132.0
49741,2022-10-09,128.0
49748,2022-10-16,106.0
49755,2022-10-23,123.0
49762,2022-10-30,117.0
49769,2022-11-06,137.0
49776,2022-11-13,194.0
49783,2022-11-20,182.0
