,date,new_deaths,diff1
62402,2020-03-01,0.0,
62409,2020-03-08,0.0,0.0
62416,2020-03-15,0.0,0.0
62423,2020-03-22,0.0,0.0
62430,2020-03-29,17.0,17.0
62437,2020-04-05,49.0,32.0
62444,2020-04-12,70.0,21.0
62451,2020-04-19,44.0,-26.0
62458,2020-04-26,42.0,-2.0
62465,2020-05-03,29.0,-13.0
62472,2020-05-10,26.0,-3.0
62479,2020-05-17,18.0,-8.0
62486,2020-05-24,18.0,0.0
62493,2020-05-31,5.0,-13.0
62500,2020-06-07,7.0,2.0
62507,2020-06-14,5.0,-2.0
62514,2020-06-21,8.0,3.0
62521,2020-06-28,8.0,0.0
62528,2020-07-05,4.0,-4.0
62535,2020-07-12,4.0,0.0
62542,2020-07-19,6.0,2.0
62549,2020-07-26,11.0,5.0
62556,2020-08-02,13.0,2.0
62563,2020-08-09,8.0,-5.0
62570,2020-08-16,8.0,0.0
62577,2020-08-23,15.0,7.0
62584,2020-08-30,10.0,-5.0
62591,2020-09-06,15.0,5.0
62598,2020-09-13,27.0,12.0
62605,2020-09-20,55.0,28.0
62612,2020-09-27,89.0,34.0
62619,2020-10-04,127.0,38.0
62626,2020-10-11,293.0,166.0
62633,2020-10-18,457.0,164.0
62640,2020-10-25,826.0,369.0
62647,2020-11-01,1290.0,464.0
62654,2020-11-08,1552.0,262.0
62661,2020-11-15,1331.0,-221.0
62668,2020-11-22,1001.0,-330.0
62675,2020-11-29,899.0,-102.0
62682,2020-12-06,760.0,-139.0
62689,2020-12-13,680.0,-80.0
62696,2020-12-20,779.0,99.0
62703,2020-12-27,761.0,-18.0
62710,2021-01-03,954.0,193.0
62717,2021-01-10,1187.0,233.0
62724,2021-01-17,1190.0,3.0
62731,2021-01-24,1054.0,-136.0
62738,2021-01-31,1002.0,-52.0
62745,2021-02-07,910.0,-92.0
62752,2021-02-14,930.0,20.0
62759,2021-02-21,1092.0,162.0
62766,2021-02-28,1173.0,81.0
62773,2021-03-07,1398.0,225.0
62780,2021-03-14,1523.0,125.0
62787,2021-03-21,1459.0,-64.0
62794,2021-03-28,1280.0,-179.0
62801,2021-04-04,1007.0,-273.0
62808,2021-04-11,847.0,-160.0
62815,2021-04-18,587.0,-260.0
62822,2021-04-25,445.0,-142.0
62829,2021-05-02,358.0,-87.0
62836,2021-05-09,263.0,-95.0
62843,2021-05-16,190.0,-73.0
62850,2021-05-23,108.0,-82.0
62857,2021-05-30,67.0,-41.0
62864,2021-06-06,39.0,-28.0
62871,2021-06-13,28.0,-11.0
62878,2021-06-20,16.0,-12.0
62885,2021-06-27,12.0,-4.0
62892,2021-07-04,5.0,-7.0
62899,2021-07-11,3.0,-2.0
62906,2021-07-18,4.0,1.0
62913,2021-07-25,4.0,0.0
62920,2021-08-01,2.0,-2.0
62927,2021-08-08,6.0,4.0
62934,2021-08-15,2.0,-4.0
62941,2021-08-22,13.0,11.0
62948,2021-08-29,7.0,-6.0
62955,2021-09-05,3.0,-4.0
62962,2021-09-12,6.0,3.0
62969,2021-09-19,16.0,10.0
62976,2021-09-26,15.0,-1.0
62983,2021-10-03,11.0,-4.0
62990,2021-10-10,26.0,15.0
62997,2021-10-17,47.0,21.0
63004,2021-10-24,79.0,32.0
63011,2021-10-31,156.0,77.0
63018,2021-11-07,298.0,142.0
63025,2021-11-14,441.0,143.0
63032,2021-11-21,642.0,201.0
63039,2021-11-28,768.0,126.0
63046,2021-12-05,848.0,80.0
63053,2021-12-12,798.0,-50.0
63060,2021-12-19,775.0,-23.0
63067,2021-12-26,527.0,-248.0
63074,2022-01-02,448.0,-79.0
63081,2022-01-09,361.0,-87.0
63088,2022-01-16,239.0,-122.0
63095,2022-01-23,175.0,-64.0
63102,2022-01-30,157.0,-18.0
63109,2022-02-06,289.0,132.0
63116,2022-02-13,388.0,99.0
63123,2022-02-20,377.0,-11.0
63130,2022-02-27,357.0,-20.0
63137,2022-03-06,300.0,-57.0
63144,2022-03-13,219.0,-81.0
63151,2022-03-20,192.0,-27.0
63158,2022-03-27,194.0,2.0
63165,2022-04-03,154.0,-40.0
63172,2022-04-10,172.0,18.0
63179,2022-04-17,92.0,-80.0
63186,2022-04-24,91.0,-1.0
63193,2022-05-01,77.0,-14.0
63200,2022-05-08,57.0,-20.0
63207,2022-05-15,25.0,-32.0
63214,2022-05-22,15.0,-10.0
63221,2022-05-29,11.0,-4.0
63228,2022-06-05,7.0,-4.0
63235,2022-06-12,8.0,1.0
63242,2022-06-19,4.0,-4.0
63249,2022-06-26,3.0,-1.0
63256,2022-07-03,10.0,7.0
63263,2022-07-10,20.0,10.0
63270,2022-07-17,22.0,2.0
63277,2022-07-24,43.0,21.0
63284,2022-07-31,86.0,43.0
63291,2022-08-07,102.0,16.0
63298,2022-08-14,83.0,-19.0
63305,2022-08-21,87.0,4.0
63312,2022-08-28,62.0,-25.0
63319,2022-09-04,45.0,-17.0
63326,2022-09-11,56.0,11.0
63333,2022-09-18,52.0,-4.0
63340,2022-09-25,65.0,13.0
63347,2022-10-02,100.0,35.0
63354,2022-10-09,123.0,23.0
63361,2022-10-16,142.0,19.0
63368,2022-10-23,97.0,-45.0
63375,2022-10-30,79.0,-18.0
63382,2022-11-06,63.0,-16.0
63389,2022-11-13,62.0,-1.0
63396,2022-11-20,39.0,-23.0
63403,2022-11-27,41.0,2.0
63410,2022-12-04,43.0,2.0
63417,2022-12-11,54.0,11.0
63424,2022-12-18,54.0,0.0
63431,2022-12-25,69.0,15.0
63438,2023-01-01,67.0,-2.0
63445,2023-01-08,62.0,-5.0
63452,2023-01-15,39.0,-23.0
63459,2023-01-22,32.0,-7.0
63466,2023-01-29,16.0,-16.0
63473,2023-02-05,22.0,6.0
63480,2023-02-12,24.0,2.0
63487,2023-02-19,35.0,11.0
63494,2023-02-26,48.0,13.0
63501,2023-03-05,43.0,-5.0
63508,2023-03-12,36.0,-7.0
63515,2023-03-19,57.0,21.0
63522,2023-03-26,56.0,-1.0
63529,2023-04-02,46.0,-10.0
63536,2023-04-09,28.0,-18.0
63543,2023-04-16,23.0,-5.0
63550,2023-04-23,22.0,-1.0
63557,2023-04-30,16.0,-6.0
63564,2023-05-07,12.0,-4.0
63571,2023-05-14,11.0,-1.0
63578,2023-05-21,6.0,-5.0
63585,2023-05-28,6.0,0.0
63592,2023-06-04,3.0,-3.0
63599,2023-06-11,1.0,-2.0
63606,2023-06-18,2.0,1.0
63613,2023-06-25,0.0,-2.0
63620,2023-07-02,1.0,1.0
63627,2023-07-09,0.0,-1.0
63634,2023-07-16,2.0,2.0
63641,2023-07-23,1.0,-1.0
63648,2023-07-30,0.0,-1.0
63655,2023-08-06,0.0,0.0
63662,2023-08-13,0.0,0.0
63669,2023-08-20,2.0,2.0
63676,2023-08-27,1.0,-1.0
63683,2023-09-03,4.0,3.0
63690,2023-09-10,6.0,2.0
63697,2023-09-17,5.0,-1.0
63704,2023-09-24,10.0,5.0
63711,2023-10-01,8.0,-2.0
63718,2023-10-08,14.0,6.0
63725,2023-10-15,20.0,6.0
63732,2023-10-22,18.0,-2.0
63739,2023-10-29,16.0,-2.0
63746,2023-11-05,37.0,21.0
63753,2023-11-12,26.0,-11.0
63760,2023-11-19,37.0,11.0
63767,2023-11-26,34.0,-3.0
63774,2023-12-03,48.0,14.0
63781,2023-12-10,64.0,16.0
63788,2023-12-17,72.0,8.0
63795,2023-12-24,63.0,-9.0
63802,2023-12-31,35.0,-28.0
63809,2024-01-07,0.0,-35.0
