,date,new_deaths,diff1
86312,2020-03-01,0.0,
86319,2020-03-08,0.0,0.0
86326,2020-03-15,43.0,43.0
86333,2020-03-22,670.0,627.0
86340,2020-03-29,1999.0,1329.0
86347,2020-04-05,3276.0,1277.0
86354,2020-04-12,3344.0,68.0
86361,2020-04-19,2730.0,-614.0
86368,2020-04-26,2096.0,-634.0
86375,2020-05-03,1406.0,-690.0
86382,2020-05-10,1056.0,-350.0
86389,2020-05-17,810.0,-246.0
86396,2020-05-24,562.0,-248.0
86403,2020-05-31,471.0,-91.0
86410,2020-06-07,331.0,-140.0
86417,2020-06-14,258.0,-73.0
86424,2020-06-21,159.0,-99.0
86431,2020-06-28,111.0,-48.0
86438,2020-07-05,100.0,-11.0
86445,2020-07-12,120.0,20.0
86452,2020-07-19,94.0,-26.0
86459,2020-07-26,98.0,4.0
86466,2020-08-02,77.0,-21.0
86473,2020-08-09,69.0,-8.0
86480,2020-08-16,92.0,23.0
86487,2020-08-23,118.0,26.0
86494,2020-08-30,111.0,-7.0
86501,2020-09-06,126.0,15.0
86508,2020-09-13,258.0,132.0
86515,2020-09-20,429.0,171.0
86522,2020-09-27,559.0,130.0
86529,2020-10-04,561.0,2.0
86536,2020-10-11,690.0,129.0
86543,2020-10-18,963.0,273.0
86550,2020-10-25,1774.0,811.0
86557,2020-11-01,3154.0,1380.0
86564,2020-11-08,4794.0,1640.0
86571,2020-11-15,5487.0,693.0
86578,2020-11-22,5602.0,115.0
86585,2020-11-29,4679.0,-923.0
86592,2020-12-06,3963.0,-716.0
86599,2020-12-13,3792.0,-171.0
86606,2020-12-20,3383.0,-409.0
86613,2020-12-27,3119.0,-264.0
86620,2021-01-03,2915.0,-204.0
86627,2021-01-10,3429.0,514.0
86634,2021-01-17,3454.0,25.0
86641,2021-01-24,3414.0,-40.0
86648,2021-01-31,3159.0,-255.0
86655,2021-02-07,3069.0,-90.0
86662,2021-02-14,2892.0,-177.0
86669,2021-02-21,2516.0,-376.0
86676,2021-02-28,2151.0,-365.0
86683,2021-03-07,2033.0,-118.0
86690,2021-03-14,1872.0,-161.0
86697,2021-03-21,1799.0,-73.0
86704,2021-03-28,1834.0,35.0
86711,2021-04-04,1959.0,125.0
86718,2021-04-11,2120.0,161.0
86725,2021-04-18,1967.0,-153.0
86732,2021-04-25,2062.0,95.0
86739,2021-05-02,1954.0,-108.0
86746,2021-05-09,1533.0,-421.0
86753,2021-05-16,1189.0,-344.0
86760,2021-05-23,940.0,-249.0
86767,2021-05-30,772.0,-168.0
86774,2021-06-06,565.0,-207.0
86781,2021-06-13,355.0,-210.0
86788,2021-06-20,309.0,-46.0
86795,2021-06-27,234.0,-75.0
86802,2021-07-04,171.0,-63.0
86809,2021-07-11,142.0,-29.0
86816,2021-07-18,96.0,-46.0
86823,2021-07-25,119.0,23.0
86830,2021-08-01,240.0,121.0
86837,2021-08-08,282.0,42.0
86844,2021-08-15,353.0,71.0
86851,2021-08-22,699.0,346.0
86858,2021-08-29,464.0,-235.0
86865,2021-09-05,489.0,25.0
86872,2021-09-12,437.0,-52.0
86879,2021-09-19,386.0,-51.0
86886,2021-09-26,331.0,-55.0
86893,2021-10-03,276.0,-55.0
86900,2021-10-10,191.0,-85.0
86907,2021-10-17,175.0,-16.0
86914,2021-10-24,179.0,4.0
86921,2021-10-31,177.0,-2.0
86928,2021-11-07,212.0,35.0
86935,2021-11-14,233.0,21.0
86942,2021-11-21,317.0,84.0
86949,2021-11-28,454.0,137.0
86956,2021-12-05,619.0,165.0
86963,2021-12-12,903.0,284.0
86970,2021-12-19,1033.0,130.0
86977,2021-12-26,1157.0,124.0
86984,2022-01-02,1315.0,158.0
86991,2022-01-09,1484.0,169.0
86998,2022-01-16,1499.0,15.0
87005,2022-01-23,1658.0,159.0
87012,2022-01-30,1933.0,275.0
87019,2022-02-06,1996.0,63.0
87026,2022-02-13,1988.0,-8.0
87033,2022-02-20,1745.0,-243.0
87040,2022-02-27,1331.0,-414.0
87047,2022-03-06,1094.0,-237.0
87054,2022-03-13,820.0,-274.0
87061,2022-03-20,792.0,-28.0
87068,2022-03-27,727.0,-65.0
87075,2022-04-03,801.0,74.0
87082,2022-04-10,788.0,-13.0
87089,2022-04-17,852.0,64.0
87096,2022-04-24,889.0,37.0
87103,2022-05-01,867.0,-22.0
87110,2022-05-08,749.0,-118.0
87117,2022-05-15,614.0,-135.0
87124,2022-05-22,466.0,-148.0
87131,2022-05-29,300.0,-166.0
87138,2022-06-05,329.0,29.0
87145,2022-06-12,237.0,-92.0
87152,2022-06-19,265.0,28.0
87159,2022-06-26,291.0,26.0
87166,2022-07-03,264.0,-27.0
87173,2022-07-10,424.0,160.0
87180,2022-07-17,585.0,161.0
87187,2022-07-24,731.0,146.0
87194,2022-07-31,597.0,-134.0
87201,2022-08-07,529.0,-68.0
87208,2022-08-14,518.0,-11.0
87215,2022-08-21,413.0,-105.0
87222,2022-08-28,317.0,-96.0
87229,2022-09-04,302.0,-15.0
87236,2022-09-11,263.0,-39.0
87243,2022-09-18,202.0,-61.0
87250,2022-09-25,217.0,15.0
87257,2022-10-02,217.0,0.0
87264,2022-10-09,314.0,97.0
87271,2022-10-16,414.0,100.0
87278,2022-10-23,522.0,108.0
87285,2022-10-30,495.0,-27.0
87292,2022-11-06,445.0,-50.0
87299,2022-11-13,397.0,-48.0
87306,2022-11-20,469.0,72.0
87313,2022-11-27,455.0,-14.0
87320,2022-12-04,485.0,30.0
87327,2022-12-11,569.0,84.0
87334,2022-12-18,721.0,152.0
87341,2022-12-25,807.0,86.0
87348,2023-01-01,808.0,1.0
87355,2023-01-08,775.0,-33.0
87362,2023-01-15,506.0,-269.0
87369,2023-01-22,398.0,-108.0
87376,2023-01-29,326.0,-72.0
87383,2023-02-05,260.0,-66.0
87390,2023-02-12,171.0,-89.0
87397,2023-02-19,180.0,9.0
87404,2023-02-26,170.0,-10.0
87411,2023-03-05,152.0,-18.0
87418,2023-03-12,125.0,-27.0
87425,2023-03-19,163.0,38.0
87432,2023-03-26,168.0,5.0
87439,2023-04-02,210.0,42.0
87446,2023-04-09,188.0,-22.0
87453,2023-04-16,162.0,-26.0
87460,2023-04-23,280.0,118.0
87467,2023-04-30,249.0,-31.0
87474,2023-05-07,239.0,-10.0
87481,2023-05-14,160.0,-79.0
87488,2023-05-21,132.0,-28.0
87495,2023-05-28,149.0,17.0
87502,2023-06-04,112.0,-37.0
87509,2023-06-11,106.0,-6.0
87516,2023-06-18,67.0,-39.0
87523,2023-06-25,62.0,-5.0
87530,2023-07-02,0.0,-62.0
87537,2023-07-09,0.0,0.0
87539,2023-07-16,0.0,0.0
87540,2023-07-23,0.0,0.0
87541,2023-07-30,0.0,0.0
87542,2023-08-06,0.0,0.0
87543,2023-08-13,0.0,0.0
87544,2023-08-20,0.0,0.0
87545,2023-08-27,0.0,0.0
87546,2023-09-03,0.0,0.0
87547,2023-09-10,0.0,0.0
87548,2023-09-17,0.0,0.0
87549,2023-09-24,0.0,0.0
87550,2023-10-01,0.0,0.0
87551,2023-10-08,0.0,0.0
87552,2023-10-15,0.0,0.0
87553,2023-10-22,0.0,0.0
87554,2023-10-29,0.0,0.0
87555,2023-11-05,0.0,0.0
87556,2023-11-12,0.0,0.0
87557,2023-11-19,0.0,0.0
87558,2023-11-26,0.0,0.0
87559,2023-12-03,0.0,0.0
87560,2023-12-10,0.0,0.0
87561,2023-12-17,0.0,0.0
87562,2023-12-24,0.0,0.0
87563,2023-12-31,0.0,0.0
87564,2024-01-07,0.0,0.0
