,date,new_deaths
117228,2020-03-01,0.0
117229,2020-03-08,1.0
117230,2020-03-15,1.0
117237,2020-03-22,3.0
117244,2020-03-29,49.0
117251,2020-04-05,121.0
117258,2020-04-12,279.0
117265,2020-04-19,342.0
117272,2020-04-26,290.0
117279,2020-05-03,201.0
117286,2020-05-10,165.0
117293,2020-05-17,83.0
117300,2020-05-24,61.0
117307,2020-05-31,39.0
117314,2020-06-07,27.0
117321,2020-06-14,23.0
117328,2020-06-21,14.0
117335,2020-06-28,12.0
117342,2020-07-05,8.0
117349,2020-07-12,4.0
117356,2020-07-19,5.0
117363,2020-07-26,3.0
117370,2020-08-02,2.0
117377,2020-08-09,1.0
117384,2020-08-16,3.0
117391,2020-08-23,2.0
117398,2020-08-30,1.0
117405,2020-09-06,1.0
117412,2020-09-13,8.0
117419,2020-09-20,14.0
117426,2020-09-27,8.0
117433,2020-10-04,12.0
117440,2020-10-11,14.0
117447,2020-10-18,28.0
117454,2020-10-25,35.0
117461,2020-11-01,42.0
117468,2020-11-08,38.0
117475,2020-11-15,39.0
117482,2020-11-22,54.0
117489,2020-11-29,36.0
117496,2020-12-06,47.0
117503,2020-12-13,35.0
117510,2020-12-20,31.0
117517,2020-12-27,48.0
117524,2021-01-03,64.0
117531,2021-01-10,105.0
117538,2021-01-17,290.0
117545,2021-01-24,417.0
117552,2021-01-31,452.0
117559,2021-02-07,388.0
117566,2021-02-14,281.0
117573,2021-02-21,190.0
117580,2021-02-28,150.0
117587,2021-03-07,96.0
117594,2021-03-14,62.0
117601,2021-03-21,60.0
117608,2021-03-28,43.0
117615,2021-04-04,48.0
117622,2021-04-11,32.0
117629,2021-04-18,27.0
117636,2021-04-25,20.0
117643,2021-05-02,16.0
117650,2021-05-09,12.0
117657,2021-05-16,9.0
117664,2021-05-23,11.0
117671,2021-05-30,10.0
117678,2021-06-06,9.0
117685,2021-06-13,1.0
117692,2021-06-20,9.0
117699,2021-06-27,3.0
117706,2021-07-04,6.0
117713,2021-07-11,2.0
117720,2021-07-18,4.0
117727,2021-07-25,5.0
117734,2021-08-01,9.0
117741,2021-08-08,10.0
117748,2021-08-15,16.0
117755,2021-08-22,15.0
117762,2021-08-29,28.0
117769,2021-09-05,44.0
117776,2021-09-12,45.0
117783,2021-09-19,46.0
117790,2021-09-26,36.0
117797,2021-10-03,49.0
117804,2021-10-10,48.0
117811,2021-10-17,48.0
117818,2021-10-24,63.0
117825,2021-10-31,55.0
117832,2021-11-07,77.0
117839,2021-11-14,49.0
117846,2021-11-21,48.0
117853,2021-11-28,70.0
117860,2021-12-05,67.0
117867,2021-12-12,56.0
117874,2021-12-19,70.0
117881,2021-12-26,53.0
117888,2022-01-02,53.0
117895,2022-01-09,61.0
117902,2022-01-16,89.0
117909,2022-01-23,60.0
117916,2022-01-30,78.0
117923,2022-02-06,88.0
117930,2022-02-13,59.0
117937,2022-02-20,45.0
117944,2022-02-27,60.0
117951,2022-03-06,53.0
117958,2022-03-13,65.0
117965,2022-03-20,68.0
117972,2022-03-27,84.0
117979,2022-04-03,99.0
117986,2022-04-10,103.0
117993,2022-04-17,106.0
118000,2022-04-24,81.0
118007,2022-05-01,57.0
118014,2022-05-08,56.0
118021,2022-05-15,28.0
118028,2022-05-22,28.0
118035,2022-05-29,23.0
118042,2022-06-05,19.0
118049,2022-06-12,16.0
118056,2022-06-19,24.0
118063,2022-06-26,29.0
118070,2022-07-03,44.0
118077,2022-07-10,31.0
118084,2022-07-17,50.0
