,date,new_deaths
119183,2020-03-01,0.0
119190,2020-03-08,0.0
119197,2020-03-15,0.0
119204,2020-03-22,1.0
119211,2020-03-29,12.0
119218,2020-04-05,36.0
119225,2020-04-12,54.0
119232,2020-04-19,63.0
119239,2020-04-26,37.0
119246,2020-05-03,30.0
119253,2020-05-10,19.0
119260,2020-05-17,21.0
119267,2020-05-24,10.0
119274,2020-05-31,6.0
119281,2020-06-07,11.0
119288,2020-06-14,5.0
119295,2020-06-21,5.0
119302,2020-06-28,16.0
119309,2020-07-05,15.0
119316,2020-07-12,34.0
119323,2020-07-19,53.0
119330,2020-07-26,68.0
119337,2020-08-02,83.0
119344,2020-08-09,82.0
119351,2020-08-16,88.0
119358,2020-08-23,87.0
119365,2020-08-30,88.0
119372,2020-09-06,108.0
119379,2020-09-13,113.0
119386,2020-09-20,145.0
119393,2020-09-27,190.0
119400,2020-10-04,241.0
119407,2020-10-11,257.0
119414,2020-10-18,245.0
119421,2020-10-25,190.0
119428,2020-11-01,156.0
119435,2020-11-08,113.0
119442,2020-11-15,60.0
119449,2020-11-22,68.0
119456,2020-11-29,58.0
119463,2020-12-06,60.0
119470,2020-12-13,80.0
119477,2020-12-20,103.0
119484,2020-12-27,131.0
119491,2021-01-03,191.0
119498,2021-01-10,244.0
119505,2021-01-17,341.0
119512,2021-01-24,366.0
119519,2021-01-31,381.0
119526,2021-02-07,348.0
119533,2021-02-14,248.0
119540,2021-02-21,205.0
119547,2021-02-28,177.0
119554,2021-03-07,132.0
119561,2021-03-14,115.0
119568,2021-03-21,101.0
119575,2021-03-28,77.0
119582,2021-04-04,81.0
119589,2021-04-11,59.0
119596,2021-04-18,43.0
119603,2021-04-25,24.0
119610,2021-05-02,16.0
119617,2021-05-09,13.0
119624,2021-05-16,8.0
119631,2021-05-23,7.0
119638,2021-05-30,6.0
119645,2021-06-06,4.0
119652,2021-06-13,3.0
119659,2021-06-20,3.0
119666,2021-06-27,1.0
119673,2021-07-04,0.0
119680,2021-07-11,5.0
119687,2021-07-18,12.0
119694,2021-07-25,14.0
119701,2021-08-01,26.0
119708,2021-08-08,75.0
119715,2021-08-15,124.0
119722,2021-08-22,163.0
119729,2021-08-29,193.0
119736,2021-09-05,208.0
119743,2021-09-12,171.0
119750,2021-09-19,146.0
119757,2021-09-26,143.0
119764,2021-10-03,129.0
119771,2021-10-10,101.0
119778,2021-10-17,82.0
119785,2021-10-24,45.0
119792,2021-10-31,47.0
119799,2021-11-07,22.0
119806,2021-11-14,25.0
119813,2021-11-21,22.0
119820,2021-11-28,12.0
119827,2021-12-05,15.0
119834,2021-12-12,16.0
119841,2021-12-19,13.0
119848,2021-12-26,6.0
119855,2022-01-02,11.0
119862,2022-01-09,24.0
119869,2022-01-16,74.0
119876,2022-01-23,193.0
119883,2022-01-30,336.0
119890,2022-02-06,434.0
119897,2022-02-13,439.0
119904,2022-02-20,262.0
119911,2022-02-27,192.0
119918,2022-03-06,134.0
119925,2022-03-13,71.0
119932,2022-03-20,58.0
119939,2022-03-27,50.0
119946,2022-04-03,63.0
119953,2022-04-10,60.0
119960,2022-04-17,48.0
119967,2022-04-24,46.0
119974,2022-05-01,36.0
119981,2022-05-08,30.0
119988,2022-05-15,20.0
119995,2022-05-22,23.0
120002,2022-05-29,11.0
120009,2022-06-05,14.0
120016,2022-06-12,13.0
120023,2022-06-19,18.0
120030,2022-06-26,49.0
120037,2022-07-03,89.0
120044,2022-07-10,96.0
120051,2022-07-17,103.0
120058,2022-07-24,99.0
120065,2022-07-31,82.0
120072,2022-08-07,70.0
120079,2022-08-14,52.0
120086,2022-08-21,43.0
120093,2022-08-28,41.0
120100,2022-09-04,26.0
120107,2022-09-11,16.0
120114,2022-09-18,15.0
120121,2022-09-25,9.0
120128,2022-10-02,13.0
120135,2022-10-09,17.0
120142,2022-10-16,17.0
120149,2022-10-23,18.0
120156,2022-10-30,16.0
120163,2022-11-06,15.0
120170,2022-11-13,16.0
120177,2022-11-20,23.0
120184,2022-11-27,24.0
120191,2022-12-04,39.0
120198,2022-12-11,44.0
120205,2022-12-18,42.0
120212,2022-12-25,41.0
120219,2023-01-01,41.0
