date,new_deaths
2020-03-01,0.0
2020-03-08,0.0
2020-03-15,9.0
2020-03-22,140.0
2020-03-29,602.0
2020-04-05,1357.0
2020-04-12,1938.0
2020-04-19,1820.0
2020-04-26,1285.0
2020-05-03,830.0
2020-05-10,571.0
2020-05-17,414.0
2020-05-24,246.0
2020-05-31,181.0
2020-06-07,141.0
2020-06-14,79.0
2020-06-21,44.0
2020-06-28,40.0
2020-07-05,33.0
2020-07-12,13.0
2020-07-19,22.0
2020-07-26,17.0
2020-08-02,20.0
2020-08-09,34.0
2020-08-16,67.0
2020-08-23,53.0
2020-08-30,31.0
2020-09-06,22.0
2020-09-13,21.0
2020-09-20,20.0
2020-09-27,33.0
2020-10-04,76.0
2020-10-11,125.0
2020-10-18,237.0
2020-10-25,366.0
2020-11-01,915.0
2020-11-08,1354.0
2020-11-15,1381.0
2020-11-22,1224.0
2020-11-29,924.0
2020-12-06,773.0
2020-12-13,663.0
2020-12-20,655.0
2020-12-27,598.0
2021-01-03,478.0
2021-01-10,387.0
2021-01-17,364.0
2021-01-24,360.0
2021-01-31,345.0
2021-02-07,287.0
2021-02-14,279.0
2021-02-21,252.0
2021-02-28,165.0
2021-03-07,192.0
2021-03-14,174.0
2021-03-21,180.0
2021-03-28,187.0
2021-04-04,232.0
2021-04-11,301.0
2021-04-18,275.0
2021-04-25,272.0
2021-05-02,273.0
2021-05-09,247.0
2021-05-16,179.0
2021-05-23,140.0
2021-05-30,95.0
2021-06-06,99.0
2021-06-13,60.0
2021-06-20,44.0
2021-06-27,32.0
2021-07-04,22.0
2021-07-11,13.0
2021-07-18,12.0
2021-07-25,11.0
2021-08-01,24.0
2021-08-08,24.0
2021-08-15,23.0
2021-08-22,36.0
2021-08-29,40.0
2021-09-05,37.0
2021-09-12,56.0
2021-09-19,42.0
2021-09-26,56.0
2021-10-03,58.0
2021-10-10,66.0
2021-10-17,82.0
2021-10-24,98.0
2021-10-31,154.0
2021-11-07,146.0
2021-11-14,197.0
2021-11-21,240.0
2021-11-28,281.0
2021-12-05,346.0
2021-12-12,328.0
2021-12-19,273.0
2021-12-26,254.0
2022-01-02,170.0
2022-01-09,131.0
2022-01-16,150.0
2022-01-23,171.0
2022-01-30,210.0
2022-02-06,287.0
2022-02-13,325.0
2022-02-20,292.0
2022-02-27,174.0
2022-03-06,139.0
2022-03-13,142.0
2022-03-20,130.0
2022-03-27,152.0
2022-04-03,169.0
2022-04-10,176.0
2022-04-17,164.0
2022-04-24,138.0
2022-05-01,111.0
2022-05-08,107.0
2022-05-15,64.0
2022-05-22,58.0
2022-05-29,48.0
2022-06-05,43.0
2022-06-12,44.0
2022-06-19,38.0
2022-06-26,33.0
2022-07-03,57.0
2022-07-10,54.0
2022-07-17,79.0
2022-07-24,77.0
2022-07-31,99.0
2022-08-07,71.0
2022-08-14,69.0
2022-08-21,65.0
2022-08-28,50.0
2022-09-04,40.0
2022-09-11,35.0
2022-09-18,46.0
2022-09-25,20.0
2022-10-02,27.0
2022-10-09,50.0
2022-10-16,69.0
2022-10-23,65.0
2022-10-30,50.0
2022-11-06,40.0
2022-11-13,33.0
2022-11-20,38.0
2022-11-27,27.0
2022-12-04,21.0
2022-12-11,45.0
2022-12-18,70.0
2022-12-25,85.0
2023-01-01,96.0
2023-01-08,72.0
2023-01-15,62.0
2023-01-22,36.0
2023-01-29,31.0
2023-02-05,21.0
2023-02-12,48.0
2023-02-19,48.0
2023-02-26,59.0
2023-03-05,57.0
2023-03-12,57.0
2023-03-19,77.0
2023-03-26,84.0
2023-04-02,69.0
2023-04-09,52.0
2023-04-16,35.0
2023-04-23,30.0
2023-04-30,43.0
2023-05-07,31.0
2023-05-14,19.0
2023-05-21,23.0
2023-05-28,17.0
2023-06-04,10.0
2023-06-11,7.0
2023-06-18,8.0
2023-06-25,6.0
2023-07-02,1.0
2023-07-09,0.0
2023-07-16,0.0
2023-07-23,0.0
2023-07-30,0.0
2023-08-06,0.0
2023-08-13,0.0
2023-08-20,0.0
2023-08-27,0.0
2023-09-03,0.0
2023-09-10,0.0
2023-09-17,0.0
2023-09-24,0.0
2023-10-01,0.0
2023-10-08,0.0
2023-10-15,0.0
2023-10-22,0.0
2023-10-29,0.0
2023-11-05,0.0
2023-11-12,0.0
2023-11-19,0.0
2023-11-26,0.0
2023-12-03,0.0
2023-12-10,0.0
2023-12-17,0.0
2023-12-24,0.0
2023-12-31,0.0
2024-01-07,0.0
