date,new_deaths
2023-04-02,97.0
2020-03-01,0.0
2020-03-08,0.0
2020-03-15,0.0
2020-03-22,0.0
2020-03-29,6.0
2020-04-05,21.0
2020-04-12,46.0
2020-04-19,53.0
2020-04-26,55.0
2020-05-03,66.0
2020-05-10,57.0
2020-05-17,117.0
2020-05-24,252.0
2020-05-31,324.0
2020-06-07,544.0
2020-06-14,1560.0
2020-06-21,1194.0
2020-06-28,1052.0
2020-07-05,845.0
2020-07-12,689.0
2020-07-19,1564.0
2020-07-26,575.0
2020-08-02,513.0
2020-08-09,478.0
2020-08-16,384.0
2020-08-23,397.0
2020-08-30,389.0
2020-09-06,370.0
2020-09-13,344.0
2020-09-20,359.0
2020-09-27,337.0
2020-10-04,328.0
2020-10-11,353.0
2020-10-18,316.0
2020-10-25,304.0
2020-11-01,315.0
2020-11-08,292.0
2020-11-15,278.0
2020-11-22,253.0
2020-11-29,292.0
2020-12-06,270.0
2020-12-13,254.0
2020-12-20,255.0
2020-12-27,303.0
2021-01-03,320.0
2021-01-10,313.0
2021-01-17,398.0
2021-01-24,419.0
2021-01-31,485.0
2021-02-07,556.0
2021-02-14,548.0
2021-02-21,531.0
2021-02-28,502.0
2021-03-07,532.0
2021-03-14,566.0
2021-03-21,606.0
2021-03-28,473.0
2021-04-04,871.0
2021-04-11,689.0
2021-04-18,842.0
2021-04-25,687.0
2021-05-02,715.0
2021-05-09,644.0
2021-05-16,633.0
2021-05-23,652.0
2021-05-30,661.0
2021-06-06,769.0
2021-06-13,763.0
2021-06-20,813.0
2021-06-27,771.0
2021-07-04,810.0
2021-07-11,794.0
2021-07-18,636.0
2021-07-25,555.0
2021-08-01,490.0
2021-08-08,503.0
2021-08-15,380.0
2021-08-22,274.0
2021-08-29,236.0
2021-09-05,226.0
2021-09-12,134.0
2021-09-19,138.0
2021-09-26,93.0
2021-10-03,52.0
2021-10-10,70.0
2021-10-17,43.0
2021-10-24,65.0
2021-10-31,81.0
2021-11-07,98.0
2021-11-14,110.0
2021-11-21,143.0
2021-11-28,188.0
2021-12-05,183.0
2021-12-12,181.0
2021-12-19,194.0
2021-12-26,173.0
2022-01-02,127.0
2022-01-09,111.0
2022-01-16,125.0
2022-01-23,121.0
2022-01-30,156.0
2022-02-06,277.0
2022-02-13,534.0
2022-02-20,732.0
2022-02-27,874.0
2022-03-06,885.0
2022-03-13,830.0
2022-03-20,655.0
2022-03-27,11858.0
2022-04-03,391.0
2022-04-10,308.0
2022-04-17,234.0
2022-04-24,144.0
2022-05-01,152.0
2022-05-08,102.0
2022-05-15,85.0
2022-05-22,80.0
2022-05-29,83.0
2022-06-05,78.0
2022-06-12,121.0
2022-06-19,150.0
2022-06-26,159.0
2022-07-03,178.0
2022-07-10,224.0
2022-07-17,252.0
2022-07-24,264.0
2022-07-31,249.0
2022-08-07,221.0
2022-08-14,188.0
2022-08-21,213.0
2022-08-28,208.0
2022-09-04,189.0
2022-09-11,178.0
2022-09-18,174.0
2022-09-25,123.0
2022-10-02,132.0
2022-10-09,128.0
2022-10-16,106.0
2022-10-23,123.0
2022-10-30,117.0
2022-11-06,137.0
2022-11-13,194.0
2022-11-20,182.0
2022-11-27,192.0
2022-12-04,186.0
2022-12-11,165.0
2022-12-18,142.0
2022-12-25,162.0
2023-01-01,160.0
2023-01-08,158.0
2023-01-15,166.0
2023-01-22,144.0
2023-01-29,124.0
2023-02-05,111.0
2023-02-12,110.0
2023-02-19,82.0
2023-02-26,91.0
2023-03-05,64.0
2023-03-12,79.0
2023-03-19,78.0
2023-03-26,103.0
2023-04-02,
2023-04-09,92.0
2023-04-16,105.0
2023-04-23,76.0
2023-04-30,61.0
2023-05-07,50.0
2023-05-14,24.0
2023-05-21,0.0
2023-05-28,17.0
2023-06-04,17.0
2023-06-11,15.0
2023-06-18,12.0
2023-06-25,10.0
2023-07-02,3.0
2023-07-09,5.0
2023-07-16,8.0
2023-07-23,11.0
2023-07-30,2.0
2023-08-06,4.0
2023-08-13,6.0
2023-08-20,6.0
2023-08-27,4.0
2023-09-03,7.0
2023-09-10,10.0
2023-09-17,8.0
2023-09-24,16.0
2023-10-01,25.0
2023-10-08,27.0
2023-10-15,34.0
2023-10-22,52.0
2023-10-29,37.0
2023-11-05,56.0
2023-11-12,46.0
2023-11-19,57.0
2023-11-26,57.0
2023-12-03,48.0
2023-12-10,48.0
2023-12-17,42.0
2023-12-24,20.0
2023-12-31,0.0
2024-01-07,0.0
