date,new_deaths
2020-03-01,0.0
2020-03-01,0.0
2020-03-08,0.0
2020-03-15,0.0
2020-03-22,0.0
2020-03-29,17.0
2020-04-05,49.0
2020-04-12,70.0
2020-04-19,44.0
2020-04-26,42.0
2020-05-03,29.0
2020-05-10,26.0
2020-05-17,18.0
2020-05-24,18.0
2020-05-31,5.0
2020-06-07,7.0
2020-06-14,5.0
2020-06-21,8.0
2020-06-28,8.0
2020-07-05,4.0
2020-07-12,4.0
2020-07-19,6.0
2020-07-26,11.0
2020-08-02,13.0
2020-08-09,8.0
2020-08-16,8.0
2020-08-23,15.0
2020-08-30,10.0
2020-09-06,15.0
2020-09-13,27.0
2020-09-20,55.0
2020-09-27,89.0
2020-10-04,127.0
2020-10-11,293.0
2020-10-18,457.0
2020-10-25,826.0
2020-11-01,1290.0
2020-11-08,1552.0
2020-11-15,1331.0
2020-11-22,1001.0
2020-11-29,899.0
2020-12-06,760.0
2020-12-13,680.0
2020-12-20,779.0
2020-12-27,761.0
2021-01-03,954.0
2021-01-10,1187.0
2021-01-17,1190.0
2021-01-24,1054.0
2021-01-31,1002.0
2021-02-07,910.0
2021-02-14,930.0
2021-02-21,1092.0
2021-02-28,1173.0
2021-03-07,1398.0
2021-03-14,1523.0
2021-03-21,1459.0
2021-03-28,1280.0
2021-04-04,1007.0
2021-04-11,847.0
2021-04-18,587.0
2021-04-25,445.0
2021-05-02,358.0
2021-05-09,263.0
2021-05-16,190.0
2021-05-23,108.0
2021-05-30,67.0
2021-06-06,39.0
2021-06-13,28.0
2021-06-20,16.0
2021-06-27,12.0
2021-07-04,5.0
2021-07-11,3.0
2021-07-18,4.0
2021-07-25,4.0
2021-08-01,2.0
2021-08-08,6.0
2021-08-15,2.0
2021-08-22,13.0
2021-08-29,7.0
2021-09-05,3.0
2021-09-12,6.0
2021-09-19,16.0
2021-09-26,15.0
2021-10-03,11.0
2021-10-10,26.0
2021-10-17,47.0
2021-10-24,79.0
2021-10-31,156.0
2021-11-07,298.0
2021-11-14,441.0
2021-11-21,642.0
2021-11-28,768.0
2021-12-05,848.0
2021-12-12,798.0
2021-12-19,775.0
2021-12-26,527.0
2022-01-02,448.0
2022-01-09,361.0
2022-01-16,239.0
2022-01-23,175.0
2022-01-30,157.0
2022-02-06,289.0
2022-02-13,388.0
2022-02-20,377.0
2022-02-27,357.0
2022-03-06,300.0
2022-03-13,219.0
2022-03-20,192.0
2022-03-27,194.0
2022-04-03,154.0
2022-04-10,172.0
2022-04-17,92.0
2022-04-24,91.0
2022-05-01,77.0
2022-05-08,57.0
2022-05-15,25.0
2022-05-22,15.0
2022-05-29,11.0
2022-06-05,7.0
2022-06-12,8.0
2022-06-19,4.0
2022-06-26,3.0
2022-07-03,10.0
2022-07-10,20.0
2022-07-17,22.0
2022-07-24,43.0
2022-07-31,86.0
2022-08-07,102.0
2022-08-14,83.0
2022-08-21,87.0
2022-08-28,62.0
2022-09-04,45.0
2022-09-11,56.0
2022-09-18,52.0
2022-09-25,65.0
2022-10-02,100.0
2022-10-09,123.0
2022-10-16,142.0
2022-10-23,97.0
2022-10-30,79.0
2022-11-06,63.0
2022-11-13,62.0
2022-11-20,39.0
2022-11-27,41.0
2022-12-04,43.0
2022-12-11,54.0
2022-12-18,54.0
2022-12-25,69.0
2023-01-01,67.0
2023-01-08,62.0
2023-01-15,39.0
2023-01-22,32.0
2023-01-29,16.0
2023-02-05,22.0
2023-02-12,24.0
2023-02-19,35.0
2023-02-26,48.0
2023-03-05,43.0
2023-03-12,36.0
2023-03-19,57.0
2023-03-26,56.0
2023-04-02,46.0
2023-04-09,28.0
2023-04-16,23.0
2023-04-23,22.0
2023-04-30,16.0
2023-05-07,12.0
2023-05-14,11.0
2023-05-21,6.0
2023-05-28,6.0
2023-06-04,3.0
2023-06-11,1.0
2023-06-18,2.0
2023-06-25,0.0
2023-07-02,1.0
2023-07-09,0.0
2023-07-16,2.0
2023-07-23,1.0
2023-07-30,0.0
2023-08-06,0.0
2023-08-13,0.0
2023-08-20,2.0
2023-08-27,1.0
2023-09-03,4.0
2023-09-10,6.0
2023-09-17,5.0
2023-09-24,10.0
2023-10-01,8.0
2023-10-08,14.0
2023-10-15,20.0
2023-10-22,18.0
2023-10-29,16.0
2023-11-05,37.0
2023-11-12,26.0
2023-11-19,37.0
2023-11-26,34.0
2023-12-03,48.0
2023-12-10,64.0
2023-12-17,72.0
2023-12-24,63.0
2023-12-31,35.0
2024-01-07,0.0
2024-01-14,
