,date,new_deaths,diff1
76776,2020-03-01,0.0,
76783,2020-03-08,0.0,0.0
76790,2020-03-15,0.0,0.0
76797,2020-03-22,0.0,0.0
76804,2020-03-29,73.0,73.0
76811,2020-04-05,16.0,-57.0
76818,2020-04-12,9.0,-7.0
76825,2020-04-19,14.0,5.0
76832,2020-04-26,9.0,-5.0
76839,2020-05-03,4.0,-5.0
76846,2020-05-10,4.0,0.0
76853,2020-05-17,2.0,-2.0
76860,2020-05-24,1.0,-1.0
76867,2020-05-31,3.0,2.0
76874,2020-06-07,1.0,-2.0
76881,2020-06-14,1.0,0.0
76888,2020-06-21,0.0,-1.0
76895,2020-06-28,0.0,0.0
76902,2020-07-05,0.0,0.0
76909,2020-07-12,0.0,0.0
76916,2020-07-19,0.0,0.0
76923,2020-07-26,0.0,0.0
76930,2020-08-02,0.0,0.0
76937,2020-08-09,0.0,0.0
76944,2020-08-16,0.0,0.0
76951,2020-08-23,1.0,1.0
76958,2020-08-30,0.0,-1.0
76965,2020-09-06,0.0,0.0
76972,2020-09-13,0.0,0.0
76979,2020-09-20,0.0,0.0
76986,2020-09-27,0.0,0.0
76993,2020-10-04,3.0,3.0
77000,2020-10-11,1.0,-2.0
77007,2020-10-18,0.0,-1.0
77014,2020-10-25,5.0,5.0
77021,2020-11-01,0.0,-5.0
77028,2020-11-08,3.0,3.0
77035,2020-11-15,5.0,2.0
77042,2020-11-22,10.0,5.0
77049,2020-11-29,24.0,14.0
77056,2020-12-06,16.0,-8.0
77063,2020-12-13,19.0,3.0
77070,2020-12-20,28.0,9.0
77077,2020-12-27,32.0,4.0
77084,2021-01-03,39.0,7.0
77091,2021-01-10,34.0,-5.0
77098,2021-01-17,48.0,14.0
77105,2021-01-24,47.0,-1.0
77112,2021-01-31,42.0,-5.0
77119,2021-02-07,42.0,0.0
77126,2021-02-14,36.0,-6.0
77133,2021-02-21,38.0,2.0
77140,2021-02-28,57.0,19.0
77147,2021-03-07,66.0,9.0
77154,2021-03-14,59.0,-7.0
77161,2021-03-21,69.0,10.0
77168,2021-03-28,82.0,13.0
77175,2021-04-04,3.0,-79.0
77182,2021-04-11,86.0,83.0
77189,2021-04-18,60.0,-26.0
77196,2021-04-25,49.0,-11.0
77203,2021-05-02,26.0,-23.0
77210,2021-05-09,31.0,5.0
77217,2021-05-16,21.0,-10.0
77224,2021-05-23,14.0,-7.0
77231,2021-05-30,13.0,-1.0
77238,2021-06-06,11.0,-2.0
77245,2021-06-13,2.0,-9.0
77252,2021-06-20,2.0,0.0
77259,2021-06-27,1.0,-1.0
77266,2021-07-04,1.0,0.0
77273,2021-07-11,0.0,-1.0
77280,2021-07-18,1.0,1.0
77287,2021-07-25,0.0,-1.0
77294,2021-08-01,1.0,1.0
77301,2021-08-08,4.0,3.0
77308,2021-08-15,2.0,-2.0
77315,2021-08-22,5.0,3.0
77322,2021-08-29,7.0,2.0
77329,2021-09-05,11.0,4.0
77336,2021-09-12,11.0,0.0
77343,2021-09-19,14.0,3.0
77350,2021-09-26,22.0,8.0
77357,2021-10-03,23.0,1.0
77364,2021-10-10,27.0,4.0
77371,2021-10-17,31.0,4.0
77378,2021-10-24,37.0,6.0
77385,2021-10-31,72.0,35.0
77392,2021-11-07,0.0,-72.0
77399,2021-11-14,72.0,72.0
77406,2021-11-21,53.0,-19.0
77413,2021-11-28,55.0,2.0
77420,2021-12-05,27.0,-28.0
77427,2021-12-12,38.0,11.0
77434,2021-12-19,23.0,-15.0
77441,2021-12-26,29.0,6.0
77448,2022-01-02,23.0,-6.0
77455,2022-01-09,16.0,-7.0
77462,2022-01-16,28.0,12.0
77469,2022-01-23,24.0,-4.0
77476,2022-01-30,25.0,1.0
77483,2022-02-06,32.0,7.0
77490,2022-02-13,45.0,13.0
77497,2022-02-20,54.0,9.0
77504,2022-02-27,64.0,10.0
77511,2022-03-06,59.0,-5.0
77518,2022-03-13,58.0,-1.0
77525,2022-03-20,33.0,-25.0
77532,2022-03-27,40.0,7.0
77539,2022-04-03,22.0,-18.0
77546,2022-04-10,29.0,7.0
77553,2022-04-17,22.0,-7.0
77560,2022-04-24,13.0,-9.0
77567,2022-05-01,9.0,-4.0
77574,2022-05-08,8.0,-1.0
77581,2022-05-15,3.0,-5.0
77588,2022-05-22,5.0,2.0
77595,2022-05-29,8.0,3.0
77602,2022-06-05,10.0,2.0
77609,2022-06-12,2.0,-8.0
77616,2022-06-19,2.0,0.0
77623,2022-06-26,3.0,1.0
77630,2022-07-03,8.0,5.0
77637,2022-07-10,8.0,0.0
77644,2022-07-17,4.0,-4.0
77651,2022-07-24,8.0,4.0
77658,2022-07-31,8.0,0.0
77665,2022-08-07,6.0,-2.0
77672,2022-08-14,8.0,2.0
77679,2022-08-21,5.0,-3.0
77686,2022-08-28,4.0,-1.0
77693,2022-09-04,6.0,2.0
77700,2022-09-11,4.0,-2.0
77707,2022-09-18,6.0,2.0
77714,2022-09-25,14.0,8.0
77721,2022-10-02,11.0,-3.0
77728,2022-10-09,21.0,10.0
77735,2022-10-16,16.0,-5.0
77742,2022-10-23,10.0,-6.0
77749,2022-10-30,9.0,-1.0
77756,2022-11-06,9.0,0.0
77763,2022-11-13,15.0,6.0
77770,2022-11-20,9.0,-6.0
77777,2022-11-27,9.0,0.0
77784,2022-12-04,9.0,0.0
77791,2022-12-11,15.0,6.0
77798,2022-12-18,23.0,8.0
77805,2022-12-25,17.0,-6.0
77812,2023-01-01,19.0,2.0
77819,2023-01-08,13.0,-6.0
77826,2023-01-15,12.0,-1.0
77833,2023-01-22,8.0,-4.0
77840,2023-01-29,8.0,0.0
77847,2023-02-05,7.0,-1.0
77854,2023-02-12,7.0,0.0
77861,2023-02-19,8.0,1.0
77868,2023-02-26,6.0,-2.0
77875,2023-03-05,6.0,0.0
77882,2023-03-12,3.0,-3.0
77889,2023-03-19,8.0,5.0
77896,2023-03-26,8.0,0.0
77903,2023-04-02,6.0,-2.0
77910,2023-04-09,8.0,2.0
77917,2023-04-16,7.0,-1.0
77924,2023-04-23,14.0,7.0
77931,2023-04-30,9.0,-5.0
77938,2023-05-07,1.0,-8.0
77945,2023-05-14,3.0,2.0
77952,2023-05-21,3.0,0.0
77959,2023-05-28,2.0,-1.0
77966,2023-06-04,2.0,0.0
77973,2023-06-11,2.0,0.0
77980,2023-06-18,0.0,-2.0
77987,2023-06-25,1.0,1.0
77994,2023-07-02,0.0,-1.0
78001,2023-07-09,0.0,0.0
78008,2023-07-16,1.0,1.0
78015,2023-07-23,1.0,0.0
78022,2023-07-30,0.0,-1.0
78029,2023-08-06,1.0,1.0
78036,2023-08-13,0.0,-1.0
78043,2023-08-20,0.0,0.0
78050,2023-08-27,0.0,0.0
78057,2023-09-03,0.0,0.0
78064,2023-09-10,0.0,0.0
78071,2023-09-17,0.0,0.0
78078,2023-09-24,1.0,1.0
78085,2023-10-01,0.0,-1.0
78092,2023-10-08,0.0,0.0
78099,2023-10-15,0.0,0.0
78106,2023-10-22,1.0,1.0
78113,2023-10-29,3.0,2.0
78120,2023-11-05,6.0,3.0
78127,2023-11-12,2.0,-4.0
78134,2023-11-19,5.0,3.0
78141,2023-11-26,1.0,-4.0
78148,2023-12-03,12.0,11.0
78155,2023-12-10,15.0,3.0
78162,2023-12-17,15.0,0.0
78169,2023-12-24,0.0,-15.0
78176,2023-12-31,0.0,0.0
78183,2024-01-07,0.0,0.0
