date,new_deaths
2020-03-01,0.0
2020-03-08,0.0
2020-03-15,43.0
2020-03-22,670.0
2020-03-29,1999.0
2020-04-05,3276.0
2020-04-12,3344.0
2020-04-19,2730.0
2020-04-26,2096.0
2020-05-03,1406.0
2020-05-10,1056.0
2020-05-17,810.0
2020-05-24,562.0
2020-05-31,471.0
2020-06-07,331.0
2020-06-14,258.0
2020-06-21,159.0
2020-06-28,111.0
2020-07-05,100.0
2020-07-12,120.0
2020-07-19,94.0
2020-07-26,98.0
2020-08-02,77.0
2020-08-09,69.0
2020-08-16,92.0
2020-08-23,118.0
2020-08-30,111.0
2020-09-06,126.0
2020-09-13,258.0
2020-09-20,429.0
2020-09-27,559.0
2020-10-04,561.0
2020-10-11,690.0
2020-10-18,963.0
2020-10-25,1774.0
2020-11-01,3154.0
2020-11-08,4794.0
2020-11-15,5487.0
2020-11-22,5602.0
2020-11-29,4679.0
2020-12-06,3963.0
2020-12-13,3792.0
2020-12-20,3383.0
2020-12-27,3119.0
2021-01-03,2915.0
2021-01-10,3429.0
2021-01-17,3454.0
2021-01-24,3414.0
2021-01-31,3159.0
2021-02-07,3069.0
2021-02-14,2892.0
2021-02-21,2516.0
2021-02-28,2151.0
2021-03-07,2033.0
2021-03-14,1872.0
2021-03-21,1799.0
2021-03-28,1834.0
2021-04-04,1959.0
2021-04-11,2120.0
2021-04-18,1967.0
2021-04-25,2062.0
2021-05-02,1954.0
2021-05-09,1533.0
2021-05-16,1189.0
2021-05-23,940.0
2021-05-30,772.0
2021-06-06,565.0
2021-06-13,355.0
2021-06-20,309.0
2021-06-27,234.0
2021-07-04,171.0
2021-07-11,142.0
2021-07-18,96.0
2021-07-25,119.0
2021-08-01,240.0
2021-08-08,282.0
2021-08-15,353.0
2021-08-22,699.0
2021-08-29,464.0
2021-09-05,489.0
2021-09-12,437.0
2021-09-19,386.0
2021-09-26,331.0
2021-10-03,276.0
2021-10-10,191.0
2021-10-17,175.0
2021-10-24,179.0
2021-10-31,177.0
2021-11-07,212.0
2021-11-14,233.0
2021-11-21,317.0
2021-11-28,454.0
2021-12-05,619.0
2021-12-12,903.0
2021-12-19,1033.0
2021-12-26,1157.0
2022-01-02,1315.0
2022-01-09,1484.0
2022-01-16,1499.0
2022-01-23,1658.0
2022-01-30,1933.0
2022-02-06,1996.0
2022-02-13,1988.0
2022-02-20,1745.0
2022-02-27,1331.0
2022-03-06,1094.0
2022-03-13,820.0
2022-03-20,792.0
2022-03-27,727.0
2022-04-03,801.0
2022-04-10,788.0
2022-04-17,852.0
2022-04-24,889.0
2022-05-01,867.0
2022-05-08,749.0
2022-05-15,614.0
2022-05-22,466.0
2022-05-29,300.0
2022-06-05,329.0
2022-06-12,237.0
2022-06-19,265.0
2022-06-26,291.0
2022-07-03,264.0
2022-07-10,424.0
2022-07-17,585.0
2022-07-24,731.0
2022-07-31,597.0
2022-08-07,529.0
2022-08-14,518.0
2022-08-21,413.0
2022-08-28,317.0
2022-09-04,302.0
2022-09-11,263.0
2022-09-18,202.0
2022-09-25,217.0
2022-10-02,217.0
2022-10-09,314.0
2022-10-16,414.0
2022-10-23,522.0
2022-10-30,495.0
2022-11-06,445.0
2022-11-13,397.0
2022-11-20,469.0
2022-11-27,455.0
2022-12-04,485.0
2022-12-11,569.0
2022-12-18,721.0
2022-12-25,807.0
2023-01-01,808.0
2023-01-08,775.0
2023-01-15,506.0
2023-01-22,398.0
2023-01-29,326.0
2023-02-05,260.0
2023-02-12,171.0
2023-02-19,180.0
2023-02-26,170.0
2023-03-05,152.0
2023-03-12,125.0
2023-03-19,163.0
2023-03-26,168.0
2023-04-02,210.0
2023-04-09,188.0
2023-04-16,162.0
2023-04-23,280.0
2023-04-30,249.0
2023-05-07,239.0
2023-05-14,160.0
2023-05-21,132.0
2023-05-28,149.0
2023-06-04,112.0
2023-06-11,106.0
2023-06-18,67.0
2023-06-25,62.0
2023-07-02,0.0
2023-07-09,0.0
2023-07-16,0.0
2023-07-23,0.0
2023-07-30,0.0
2023-08-06,0.0
2023-08-13,0.0
2023-08-20,0.0
2023-08-27,0.0
2023-09-03,0.0
2023-09-10,0.0
2023-09-17,0.0
2023-09-24,0.0
2023-10-01,0.0
2023-10-08,0.0
2023-10-15,0.0
2023-10-22,0.0
2023-10-29,0.0
2023-11-05,0.0
2023-11-12,0.0
2023-11-19,0.0
2023-11-26,0.0
2023-12-03,0.0
2023-12-10,0.0
2023-12-17,0.0
2023-12-24,0.0
2023-12-31,0.0
2024-01-07,0.0
