date,new_deaths
2020-03-01,0.0
2020-03-01,0.0
2020-03-08,1.0
2020-03-15,1.0
2020-03-22,3.0
2020-03-29,49.0
2020-04-05,121.0
2020-04-12,279.0
2020-04-19,342.0
2020-04-26,290.0
2020-05-03,201.0
2020-05-10,165.0
2020-05-17,83.0
2020-05-24,61.0
2020-05-31,39.0
2020-06-07,27.0
2020-06-14,23.0
2020-06-21,14.0
2020-06-28,12.0
2020-07-05,8.0
2020-07-12,4.0
2020-07-19,5.0
2020-07-26,3.0
2020-08-02,2.0
2020-08-09,1.0
2020-08-16,3.0
2020-08-23,2.0
2020-08-30,1.0
2020-09-06,1.0
2020-09-13,8.0
2020-09-20,14.0
2020-09-27,8.0
2020-10-04,12.0
2020-10-11,14.0
2020-10-18,28.0
2020-10-25,35.0
2020-11-01,42.0
2020-11-08,38.0
2020-11-15,39.0
2020-11-22,54.0
2020-11-29,36.0
2020-12-06,47.0
2020-12-13,35.0
2020-12-20,31.0
2020-12-27,48.0
2021-01-03,64.0
2021-01-10,105.0
2021-01-17,290.0
2021-01-24,417.0
2021-01-31,452.0
2021-02-07,388.0
2021-02-14,281.0
2021-02-21,190.0
2021-02-28,150.0
2021-03-07,96.0
2021-03-14,62.0
2021-03-21,60.0
2021-03-28,43.0
2021-04-04,48.0
2021-04-11,32.0
2021-04-18,27.0
2021-04-25,20.0
2021-05-02,16.0
2021-05-09,12.0
2021-05-16,9.0
2021-05-23,11.0
2021-05-30,10.0
2021-06-06,9.0
2021-06-13,1.0
2021-06-20,9.0
2021-06-27,3.0
2021-07-04,6.0
2021-07-11,2.0
2021-07-18,4.0
2021-07-25,5.0
2021-08-01,9.0
2021-08-08,10.0
2021-08-15,16.0
2021-08-22,15.0
2021-08-29,28.0
2021-09-05,44.0
2021-09-12,45.0
2021-09-19,46.0
2021-09-26,36.0
2021-10-03,49.0
2021-10-10,48.0
2021-10-17,48.0
2021-10-24,63.0
2021-10-31,55.0
2021-11-07,77.0
2021-11-14,49.0
2021-11-21,48.0
2021-11-28,70.0
2021-12-05,67.0
2021-12-12,56.0
2021-12-19,70.0
2021-12-26,53.0
2022-01-02,53.0
2022-01-09,61.0
2022-01-16,89.0
2022-01-23,60.0
2022-01-30,78.0
2022-02-06,88.0
2022-02-13,59.0
2022-02-20,45.0
2022-02-27,60.0
2022-03-06,53.0
2022-03-13,65.0
2022-03-20,68.0
2022-03-27,84.0
2022-04-03,99.0
2022-04-10,103.0
2022-04-17,106.0
2022-04-24,81.0
2022-05-01,57.0
2022-05-08,56.0
2022-05-15,28.0
2022-05-22,28.0
2022-05-29,23.0
2022-06-05,19.0
2022-06-12,16.0
2022-06-19,24.0
2022-06-26,29.0
2022-07-03,44.0
2022-07-10,31.0
2022-07-17,50.0
2022-07-24,58.0
2022-07-31,40.0
2022-08-07,39.0
2022-08-14,41.0
2022-08-21,30.0
2022-08-28,19.0
2022-09-04,20.0
2022-09-11,15.0
2022-09-18,13.0
2022-09-25,16.0
2022-10-02,24.0
2022-10-09,32.0
2022-10-16,26.0
2022-10-23,36.0
2022-10-30,32.0
2022-11-06,33.0
2022-11-13,35.0
2022-11-20,34.0
2022-11-27,30.0
2022-12-04,32.0
2022-12-11,36.0
2022-12-18,29.0
2022-12-25,56.0
2023-01-01,65.0
2023-01-08,59.0
2023-01-15,64.0
2023-01-22,46.0
2023-01-29,25.0
2023-02-05,33.0
2023-02-12,21.0
2023-02-19,18.0
2023-02-26,17.0
2023-03-05,17.0
2023-03-12,10.0
2023-03-19,17.0
2023-03-26,20.0
2023-04-02,19.0
2023-04-09,20.0
2023-04-16,15.0
2023-04-23,16.0
2023-04-30,26.0
2023-05-07,19.0
2023-05-14,17.0
2023-05-21,29.0
2023-05-28,12.0
2023-06-04,18.0
2023-06-11,21.0
2023-06-18,12.0
2023-06-25,8.0
2023-07-02,7.0
2023-07-09,11.0
2023-07-16,4.0
2023-07-23,4.0
2023-07-30,12.0
2023-08-06,8.0
2023-08-13,15.0
2023-08-20,15.0
2023-08-27,24.0
2023-09-03,20.0
2023-09-10,21.0
2023-09-17,13.0
2023-09-24,13.0
2023-10-01,10.0
2023-10-08,17.0
2023-10-15,17.0
2023-10-22,12.0
2023-10-29,13.0
2023-11-05,12.0
2023-11-12,11.0
2023-11-19,7.0
2023-11-26,2.0
2023-12-03,14.0
2023-12-10,5.0
2023-12-17,4.0
2023-12-24,5.0
2023-12-31,1.0
2024-01-07,0.0
