date,new_deaths
2020-03-01,0.0
2020-03-08,0.0
2020-03-15,0.0
2020-03-22,1.0
2020-03-29,12.0
2020-04-05,36.0
2020-04-12,54.0
2020-04-19,63.0
2020-04-26,37.0
2020-05-03,30.0
2020-05-10,19.0
2020-05-17,21.0
2020-05-24,10.0
2020-05-31,6.0
2020-06-07,11.0
2020-06-14,5.0
2020-06-21,5.0
2020-06-28,16.0
2020-07-05,15.0
2020-07-12,34.0
2020-07-19,53.0
2020-07-26,68.0
2020-08-02,83.0
2020-08-09,82.0
2020-08-16,88.0
2020-08-23,87.0
2020-08-30,88.0
2020-09-06,108.0
2020-09-13,113.0
2020-09-20,145.0
2020-09-27,190.0
2020-10-04,241.0
2020-10-11,257.0
2020-10-18,245.0
2020-10-25,190.0
2020-11-01,156.0
2020-11-08,113.0
2020-11-15,60.0
2020-11-22,68.0
2020-11-29,58.0
2020-12-06,60.0
2020-12-13,80.0
2020-12-20,103.0
2020-12-27,131.0
2021-01-03,191.0
2021-01-10,244.0
2021-01-17,341.0
2021-01-24,366.0
2021-01-31,381.0
2021-02-07,348.0
2021-02-14,248.0
2021-02-21,205.0
2021-02-28,177.0
2021-03-07,132.0
2021-03-14,115.0
2021-03-21,101.0
2021-03-28,77.0
2021-04-04,81.0
2021-04-11,59.0
2021-04-18,43.0
2021-04-25,24.0
2021-05-02,16.0
2021-05-09,13.0
2021-05-16,8.0
2021-05-23,7.0
2021-05-30,6.0
2021-06-06,4.0
2021-06-13,3.0
2021-06-20,3.0
2021-06-27,1.0
2021-07-04,0.0
2021-07-11,5.0
2021-07-18,12.0
2021-07-25,14.0
2021-08-01,26.0
2021-08-08,75.0
2021-08-15,124.0
2021-08-22,163.0
2021-08-29,193.0
2021-09-05,208.0
2021-09-12,171.0
2021-09-19,146.0
2021-09-26,143.0
2021-10-03,129.0
2021-10-10,101.0
2021-10-17,82.0
2021-10-24,45.0
2021-10-31,47.0
2021-11-07,22.0
2021-11-14,25.0
2021-11-21,22.0
2021-11-28,12.0
2021-12-05,15.0
2021-12-12,16.0
2021-12-19,13.0
2021-12-26,6.0
2022-01-02,11.0
2022-01-09,24.0
2022-01-16,74.0
2022-01-23,193.0
2022-01-30,336.0
2022-02-06,434.0
2022-02-13,439.0
2022-02-20,262.0
2022-02-27,192.0
2022-03-06,134.0
2022-03-13,71.0
2022-03-20,58.0
2022-03-27,50.0
2022-04-03,63.0
2022-04-10,60.0
2022-04-17,48.0
2022-04-24,46.0
2022-05-01,36.0
2022-05-08,30.0
2022-05-15,20.0
2022-05-22,23.0
2022-05-29,11.0
2022-06-05,14.0
2022-06-12,13.0
2022-06-19,18.0
2022-06-26,49.0
2022-07-03,89.0
2022-07-10,96.0
2022-07-17,103.0
2022-07-24,99.0
2022-07-31,82.0
2022-08-07,70.0
2022-08-14,52.0
2022-08-21,43.0
2022-08-28,41.0
2022-09-04,26.0
2022-09-11,16.0
2022-09-18,15.0
2022-09-25,9.0
2022-10-02,13.0
2022-10-09,17.0
2022-10-16,17.0
2022-10-23,18.0
2022-10-30,16.0
2022-11-06,15.0
2022-11-13,16.0
2022-11-20,23.0
2022-11-27,24.0
2022-12-04,39.0
2022-12-11,44.0
2022-12-18,42.0
2022-12-25,41.0
2023-01-01,41.0
2023-01-08,46.0
2023-01-15,24.0
2023-01-22,36.0
2023-01-29,26.0
2023-02-05,26.0
2023-02-12,19.0
2023-02-19,21.0
2023-02-26,26.0
2023-03-05,25.0
2023-03-12,23.0
2023-03-19,32.0
2023-03-26,22.0
2023-04-02,24.0
2023-04-09,16.0
2023-04-16,22.0
2023-04-23,25.0
2023-04-30,19.0
2023-05-07,12.0
2023-05-14,7.0
2023-05-21,16.0
2023-05-28,7.0
2023-06-04,9.0
2023-06-11,8.0
2023-06-18,6.0
2023-06-25,3.0
2023-07-02,6.0
2023-07-09,6.0
2023-07-16,4.0
2023-07-23,6.0
2023-07-30,8.0
2023-08-06,10.0
2023-08-13,17.0
2023-08-20,9.0
2023-08-27,10.0
2023-09-03,9.0
2023-09-10,16.0
2023-09-17,10.0
2023-09-24,9.0
2023-10-01,10.0
2023-10-08,0.0
2023-10-15,1.0
2023-10-22,5.0
2023-10-29,4.0
2023-11-05,0.0
2023-11-12,0.0
2023-11-19,0.0
2023-11-26,0.0
2023-12-03,0.0
2023-12-10,0.0
2023-12-17,0.0
2023-12-24,0.0
2023-12-31,0.0
2024-01-07,0.0
