,date,new_deaths,diff1
259965,2020-03-01,1.0,
259972,2020-03-08,18.0,17.0
259979,2020-03-15,50.0,32.0
259986,2020-03-22,305.0,255.0
259993,2020-03-29,1732.0,1427.0
260000,2020-04-05,6642.0,4910.0
260007,2020-04-12,13889.0,7247.0
260014,2020-04-19,15898.0,2009.0
260021,2020-04-26,14899.0,-999.0
260028,2020-05-03,13635.0,-1264.0
260035,2020-05-10,12758.0,-877.0
260042,2020-05-17,10130.0,-2628.0
260049,2020-05-24,8558.0,-1572.0
260056,2020-05-31,6810.0,-1748.0
260063,2020-06-07,5987.0,-823.0
260070,2020-06-14,5370.0,-617.0
260077,2020-06-21,4455.0,-915.0
260084,2020-06-28,6081.0,1626.0
260091,2020-07-05,4451.0,-1630.0
260098,2020-07-12,5529.0,1078.0
260105,2020-07-19,6666.0,1137.0
260112,2020-07-26,7726.0,1060.0
260119,2020-08-02,8146.0,420.0
260126,2020-08-09,7799.0,-347.0
260133,2020-08-16,7404.0,-395.0
260140,2020-08-23,6677.0,-727.0
260147,2020-08-30,6343.0,-334.0
260154,2020-09-06,5705.0,-638.0
260161,2020-09-13,4977.0,-728.0
260168,2020-09-20,5176.0,199.0
260175,2020-09-27,4776.0,-400.0
260182,2020-10-04,4687.0,-89.0
260189,2020-10-11,4615.0,-72.0
260196,2020-10-18,4801.0,186.0
260203,2020-10-25,5723.0,922.0
260210,2020-11-01,6096.0,373.0
260217,2020-11-08,7204.0,1108.0
260224,2020-11-15,8717.0,1513.0
260231,2020-11-22,10820.0,2103.0
260238,2020-11-29,11950.0,1130.0
260245,2020-12-06,14801.0,2851.0
260252,2020-12-13,17714.0,2913.0
260259,2020-12-20,18866.0,1152.0
260266,2020-12-27,18333.0,-533.0
260273,2021-01-03,19650.0,1317.0
260280,2021-01-10,21497.0,1847.0
260287,2021-01-17,23312.0,1815.0
260294,2021-01-24,22495.0,-817.0
260301,2021-01-31,22249.0,-246.0
260308,2021-02-07,20100.0,-2149.0
260315,2021-02-14,19838.0,-262.0
260322,2021-02-21,14432.0,-5406.0
260329,2021-02-28,13360.0,-1072.0
260336,2021-03-07,10446.0,-2914.0
260343,2021-03-14,8559.0,-1887.0
260350,2021-03-21,6264.0,-2295.0
260357,2021-03-28,6111.0,-153.0
260364,2021-04-04,5352.0,-759.0
260371,2021-04-11,4903.0,-449.0
260378,2021-04-18,4875.0,-28.0
260385,2021-04-25,4721.0,-154.0
260392,2021-05-02,4493.0,-228.0
260399,2021-05-09,4451.0,-42.0
260406,2021-05-16,3973.0,-478.0
260413,2021-05-23,3624.0,-349.0
260420,2021-05-30,3534.0,-90.0
260427,2021-06-06,2675.0,-859.0
260434,2021-06-13,2624.0,-51.0
260441,2021-06-20,1762.0,-862.0
260448,2021-06-27,2101.0,339.0
260455,2021-07-04,1717.0,-384.0
260462,2021-07-11,1509.0,-208.0
260469,2021-07-18,1931.0,422.0
260476,2021-07-25,2084.0,153.0
260483,2021-08-01,2927.0,843.0
260490,2021-08-08,4453.0,1526.0
260497,2021-08-15,5637.0,1184.0
260504,2021-08-22,8055.0,2418.0
260511,2021-08-29,10183.0,2128.0
260518,2021-09-05,11709.0,1526.0
260525,2021-09-12,12085.0,376.0
260532,2021-09-19,13590.0,1505.0
260539,2021-09-26,13384.0,-206.0
260546,2021-10-03,12992.0,-392.0
260553,2021-10-10,11684.0,-1308.0
260560,2021-10-17,10462.0,-1222.0
260567,2021-10-24,11091.0,629.0
260574,2021-10-31,8915.0,-2176.0
260581,2021-11-07,7407.0,-1508.0
260588,2021-11-14,7529.0,122.0
