,date,new_deaths
120395,2020-03-01,27.0
120402,2020-03-08,204.0
120409,2020-03-15,1208.0
120416,2020-03-22,3384.0
120423,2020-03-29,5198.0
120430,2020-04-05,5339.0
120437,2020-04-12,4106.0
120444,2020-04-19,3759.0
120451,2020-04-26,3157.0
120458,2020-05-03,2326.0
120465,2020-05-10,1685.0
120472,2020-05-17,1368.0
120479,2020-05-24,972.0
120486,2020-05-31,605.0
120493,2020-06-07,506.0
120500,2020-06-14,455.0
120507,2020-06-21,309.0
120514,2020-06-28,106.0
120521,2020-07-05,138.0
120528,2020-07-12,91.0
120535,2020-07-19,97.0
120542,2020-07-26,60.0
120549,2020-08-02,44.0
120556,2020-08-09,57.0
120563,2020-08-16,189.0
120570,2020-08-23,38.0
120577,2020-08-30,43.0
120584,2020-09-06,60.0
120591,2020-09-13,70.0
120598,2020-09-20,89.0
120605,2020-09-27,126.0
120612,2020-10-04,150.0
120619,2020-10-11,172.0
120626,2020-10-18,334.0
120633,2020-10-25,736.0
120640,2020-11-01,1408.0
120647,2020-11-08,2445.0
120654,2020-11-15,3620.0
120661,2020-11-22,4578.0
120668,2020-11-29,5102.0
120675,2020-12-06,5151.0
120682,2020-12-13,4522.0
120689,2020-12-20,4411.0
120696,2020-12-27,3180.0
120703,2021-01-03,3358.0
120710,2021-01-10,3409.0
120717,2021-01-17,3406.0
120724,2021-01-24,3362.0
120731,2021-01-31,3117.0
120738,2021-02-07,2724.0
120745,2021-02-14,2353.0
120752,2021-02-21,2130.0
120759,2021-02-28,2021.0
120766,2021-03-07,2071.0
120773,2021-03-14,2303.0
120780,2021-03-21,2761.0
120787,2021-03-28,2994.0
120794,2021-04-04,3068.0
120801,2021-04-11,3219.0
120808,2021-04-18,2753.0
120815,2021-04-25,2345.0
120822,2021-05-02,2012.0
120829,2021-05-09,1661.0
120836,2021-05-16,1369.0
120843,2021-05-23,1090.0
120850,2021-05-30,849.0
120857,2021-06-06,470.0
120864,2021-06-13,504.0
120871,2021-06-20,277.0
120878,2021-06-27,205.0
120885,2021-07-04,179.0
120892,2021-07-11,131.0
120899,2021-07-18,96.0
120906,2021-07-25,78.0
120913,2021-08-01,121.0
120920,2021-08-08,146.0
120927,2021-08-15,204.0
120934,2021-08-22,315.0
120941,2021-08-29,328.0
120948,2021-09-05,410.0
120955,2021-09-12,419.0
120962,2021-09-19,399.0
120969,2021-09-26,369.0
120976,2021-10-03,345.0
120983,2021-10-10,276.0
120990,2021-10-17,243.0
120997,2021-10-24,285.0
121004,2021-10-31,272.0
121011,2021-11-07,291.0
121018,2021-11-14,374.0
121025,2021-11-21,392.0
121032,2021-11-28,496.0
121039,2021-12-05,525.0
121046,2021-12-12,613.0
121053,2021-12-19,779.0
121060,2021-12-26,986.0
121067,2022-01-02,983.0
121074,2022-01-09,1368.0
121081,2022-01-16,1975.0
121088,2022-01-23,2440.0
121095,2022-01-30,2618.0
121102,2022-02-06,2628.0
121109,2022-02-13,2282.0
121116,2022-02-20,2024.0
121123,2022-02-27,1568.0
121130,2022-03-06,1366.0
121137,2022-03-13,1000.0
121144,2022-03-20,910.0
121151,2022-03-27,1008.0
121158,2022-04-03,966.0
121165,2022-04-10,992.0
121172,2022-04-17,944.0
121179,2022-04-24,1007.0
121186,2022-05-01,898.0
121193,2022-05-08,910.0
121200,2022-05-15,765.0
121207,2022-05-22,736.0
121214,2022-05-29,624.0
121221,2022-06-05,380.0
121228,2022-06-12,443.0
121235,2022-06-19,338.0
121242,2022-06-26,355.0
121249,2022-07-03,430.0
121256,2022-07-10,574.0
121263,2022-07-17,784.0
121270,2022-07-24,952.0
121277,2022-07-31,1205.0
121284,2022-08-07,1059.0
121291,2022-08-14,920.0
121298,2022-08-21,677.0
121305,2022-08-28,647.0
121312,2022-09-04,496.0
121319,2022-09-11,373.0
121326,2022-09-18,371.0
121333,2022-09-25,321.0
121340,2022-10-02,263.0
121347,2022-10-09,348.0
121354,2022-10-16,478.0
121361,2022-10-23,586.0
121368,2022-10-30,559.0
121375,2022-11-06,554.0
121382,2022-11-13,484.0
121389,2022-11-20,540.0
121396,2022-11-27,592.0
121403,2022-12-04,673.0
121410,2022-12-11,675.0
121417,2022-12-18,751.0
121424,2022-12-25,798.0
121431,2023-01-01,750.0
121438,2023-01-08,614.0
121445,2023-01-15,626.0
121452,2023-01-22,443.0
121459,2023-01-29,303.0
121466,2023-02-05,455.0
121473,2023-02-12,259.0
121480,2023-02-19,309.0
121487,2023-02-26,247.0
121494,2023-03-05,222.0
121501,2023-03-12,198.0
121508,2023-03-19,201.0
121515,2023-03-26,179.0
121522,2023-04-02,181.0
121529,2023-04-09,148.0
121536,2023-04-16,137.0
121543,2023-04-23,187.0
121550,2023-04-30,159.0
121557,2023-05-07,182.0
121564,2023-05-14,154.0
121571,2023-05-21,164.0
121578,2023-05-28,154.0
121585,2023-06-04,111.0
121592,2023-06-11,104.0
121599,2023-06-18,81.0
121606,2023-06-25,84.0
121613,2023-07-02,67.0
121620,2023-07-09,29.0
121627,2023-07-16,43.0
121634,2023-07-23,43.0
121641,2023-07-30,17.0
121648,2023-08-06,49.0
121655,2023-08-13,76.0
121662,2023-08-20,38.0
121669,2023-08-27,55.0
121676,2023-09-03,81.0
121683,2023-09-10,89.0
121690,2023-09-17,109.0
121697,2023-09-24,134.0
121704,2023-10-01,130.0
121711,2023-10-08,154.0
121718,2023-10-15,164.0
121725,2023-10-22,214.0
121732,2023-10-29,167.0
121739,2023-11-05,130.0
121746,2023-11-12,217.0
121753,2023-11-19,250.0
121760,2023-11-26,277.0
121767,2023-12-03,323.0
121774,2023-12-10,382.0
121781,2023-12-17,388.0
121788,2023-12-24,228.0
121795,2023-12-31,16.0
121802,2024-01-07,0.0
