,date,new_deaths
259965,,
259972,7 days,17.0
259979,7 days,32.0
259986,7 days,255.0
259993,7 days,1427.0
260000,7 days,4910.0
260007,7 days,7247.0
260014,7 days,2009.0
260021,7 days,-999.0
260028,7 days,-1264.0
260035,7 days,-877.0
260042,7 days,-2628.0
260049,7 days,-1572.0
260056,7 days,-1748.0
260063,7 days,-823.0
260070,7 days,-617.0
260077,7 days,-915.0
260084,7 days,1626.0
260091,7 days,-1630.0
260098,7 days,1078.0
260105,7 days,1137.0
260112,7 days,1060.0
260119,7 days,420.0
260126,7 days,-347.0
260133,7 days,-395.0
260140,7 days,-727.0
260147,7 days,-334.0
260154,7 days,-638.0
260161,7 days,-728.0
260168,7 days,199.0
260175,7 days,-400.0
260182,7 days,-89.0
260189,7 days,-72.0
260196,7 days,186.0
260203,7 days,922.0
260210,7 days,373.0
260217,7 days,1108.0
260224,7 days,1513.0
260231,7 days,2103.0
260238,7 days,1130.0
260245,7 days,2851.0
260252,7 days,2913.0
260259,7 days,1152.0
260266,7 days,-533.0
260273,7 days,1317.0
260280,7 days,1847.0
260287,7 days,1815.0
260294,7 days,-817.0
260301,7 days,-246.0
260308,7 days,-2149.0
260315,7 days,-262.0
260322,7 days,-5406.0
260329,7 days,-1072.0
260336,7 days,-2914.0
260343,7 days,-1887.0
260350,7 days,-2295.0
260357,7 days,-153.0
260364,7 days,-759.0
260371,7 days,-449.0
260378,7 days,-28.0
260385,7 days,-154.0
260392,7 days,-228.0
260399,7 days,-42.0
260406,7 days,-478.0
260413,7 days,-349.0
260420,7 days,-90.0
260427,7 days,-859.0
260434,7 days,-51.0
260441,7 days,-862.0
260448,7 days,339.0
260455,7 days,-384.0
260462,7 days,-208.0
260469,7 days,422.0
260476,7 days,153.0
260483,7 days,843.0
260490,7 days,1526.0
260497,7 days,1184.0
260504,7 days,2418.0
260511,7 days,2128.0
260518,7 days,1526.0
260525,7 days,376.0
260532,7 days,1505.0
260539,7 days,-206.0
260546,7 days,-392.0
260553,7 days,-1308.0
260560,7 days,-1222.0
260567,7 days,629.0
260574,7 days,-2176.0
260581,7 days,-1508.0
260588,7 days,122.0
260595,7 days,2747.0
260602,7 days,-4586.0
260609,7 days,2614.0
260616,7 days,282.0
260623,7 days,479.0
260630,7 days,1936.0
260637,7 days,-1855.0
260644,7 days,2570.0
260651,7 days,2664.0
260658,7 days,1928.0
260665,7 days,2095.0
260672,7 days,251.0
260679,7 days,-1104.0
260686,7 days,-2178.0
260693,7 days,-2326.0
260700,7 days,-3368.0
260707,7 days,-1072.0
260714,7 days,-5361.0
260721,7 days,1746.0
260728,7 days,-819.0
260735,7 days,-705.0
260742,7 days,-344.0
260749,7 days,-680.0
260756,7 days,-201.0
260763,7 days,399.0
260770,7 days,-675.0
260777,7 days,115.0
260784,7 days,548.0
260791,7 days,-650.0
260798,7 days,305.0
260805,7 days,-82.0
260812,7 days,299.0
260819,7 days,141.0
260826,7 days,-188.0
260833,7 days,331.0
260840,7 days,402.0
260847,7 days,-74.0
260854,7 days,148.0
260861,7 days,181.0
260868,7 days,-211.0
260875,7 days,-10.0
260882,7 days,-131.0
260889,7 days,-465.0
260896,7 days,274.0
260903,7 days,-194.0
260910,7 days,277.0
260917,7 days,-422.0
260924,7 days,-286.0
260931,7 days,681.0
260938,7 days,126.0
260945,7 days,-618.0
260952,7 days,-173.0
260959,7 days,-88.0
260966,7 days,417.0
260973,7 days,-856.0
260980,7 days,1272.0
260987,7 days,-383.0
260994,7 days,381.0
261001,7 days,-553.0
261008,7 days,284.0
261015,7 days,1643.0
261022,7 days,-743.0
261029,7 days,79.0
261036,7 days,-291.0
261043,7 days,-12.0
261050,7 days,-583.0
261057,7 days,-495.0
261064,7 days,-165.0
261071,7 days,-310.0
261078,7 days,-146.0
261085,7 days,343.0
261092,7 days,-338.0
261099,7 days,-17.0
261106,7 days,-439.0
261113,7 days,-92.0
261120,7 days,-152.0
261127,7 days,100.0
261134,7 days,797.0
261141,7 days,-1188.0
261148,7 days,-17.0
261155,7 days,-49.0
261162,7 days,-58.0
261169,7 days,-22.0
261176,7 days,-33.0
261183,7 days,-36.0
261190,7 days,-53.0
261197,7 days,20.0
261204,7 days,28.0
261211,7 days,10.0
261218,7 days,125.0
261225,7 days,79.0
261232,7 days,166.0
261239,7 days,137.0
261246,7 days,129.0
261253,7 days,120.0
261260,7 days,95.0
261267,7 days,6.0
261274,7 days,35.0
261281,7 days,-63.0
261288,7 days,-83.0
261295,7 days,64.0
261302,7 days,-85.0
261309,7 days,-52.0
261316,7 days,135.0
261323,7 days,27.0
261330,7 days,-24.0
261337,7 days,249.0
261344,7 days,9.0
261351,7 days,-164.0
261358,7 days,-187.0
261365,7 days,-424.0
261370,7 days,-839.0
